Date	Cover model	Centerfold model	Interview subject	20 Questions
1-04	none	Colleen Shannon	Jack Nicholson	Al Franken
2-04	Jaime Pressly	Aliya Wolf	Kiefer Sutherland	Dave Matthews
3-04	Rena Mero , Torrie Wilson (two alternative covers)	Sandra Hubby	Jim Carrey	William Petersen
4-04	Rachel Hunter	Krista Kelly	50 Cent	Kevin Smith
5-04	Pamela Anderson	Nicole Whitehead	Johnny Depp	Matthew Perry
6-04	Charisma Carpenter	Hiromi Oshima	Derek Jeter	Jude Law
7-04	Peta Wilson	Stephanie Glasson	Michael Moore	Christina Applegate
8-04	Eva Herzigova	Pilar Lastra	Matt Damon	Spike Lee
9-04	Amy Acuff	Scarlett Keegan	Sergey Brin & Larry Page	Terrel Owens
10-04	Evelyn Gery	Kimberly Holland	Donald Trump	Jimmy Fallon
11-04	Brooke Burke	Cara Zavaleta	Oliver Stone	John Carmack
12-04	Denise Richards	Tiffany Fallon	Bernie Mac	Dustin Hoffman
