Region (year)	No. 1	No. 2	No. 3	No. 4	No. 5	No. 6	No. 7	No. 8	No. 9
Alabama (2008)	Emma	Madison	Addison	Ava	Emily	Chloe	Anna	Hannah	Isabella
Alaska (2008)	Emma	Ava	Abigail	Sophia	Emily	Isabella	Olivia	Elizabeth	Madison
Arizona (2008)	Isabella	Sophia	Emma	Emily	Mia	Abigail	Ava	Samantha	Madison
Arkansas (2008)	Madison	Emma	Addison	Emily	Olivia	Chloe	Ava	Abigail	Isabella
California (2008)	Isabella	Emily	Sophia	Samantha	Ashley	Natalie	Mia	Emma	Abigail
Colorado (2008)	Isabella	Olivia	Sophia	Emma	Abigail	Madison	Ava	Elizabeth	Samantha
Connecticut (2008)	Isabella	Olivia	Ava	Emily	Emma	Madison	Sophia	Abigail	Julia
Delaware (2008)	Ava	Olivia	Madison	Abigail	Emma	Isabella	Emily	Sophia	Alexis
District of Columbia (2008)	Ashley	Chloe	Sophia	Katherine	Emma	Emily	Madison	Olivia	Abigail
Florida (2008)	Isabella	Sophia	Emily	Emma	Madison	Olivia	Ava	Abigail	Mia
Georgia (2008)	Madison	Emma	Emily	Ava	Olivia	Abigail	Addison	Elizabeth	Isabella
Hawaii (2008)	Chloe	Isabella	Madison	Mia	Sophia	Ava	Lily	Hailey	Emma
Idaho (2008)	Olivia	Emma	Madison	Abigail	Emily	Elizabeth	Sophia	Ava	Alexis
Illinois (2008)	Olivia	Emily	Isabella	Emma	Sophia	Ava	Abigail	Madison	Mia
Indiana (2008)	Emma	Olivia	Ava	Madison	Addison	Abigail	Emily	Sophia	Isabella
Iowa (2008)	Emma	Olivia	Ava	Addison	Abigail	Ella	Emily	Grace	Madison
Kansas (2009)	Emma	Olivia	Emily	Ava	Madison	Addison	Isabella	Elizabeth	Abigail
Kentucky (2009)	Madison	Emma	Olivia	Abigail	Addison	Emily	Isabella	Ava	Chloe
Louisiana (2008)	Madison	Ava	Emma	Olivia	Isabella	Addison	Chloe	Emily	Abigail
Maine (2008)	Emma	Olivia	Madison	Ava	Abigail	Isabella	Emily	Grace	Sophia
Maryland (2008)	Madison	Emily	Emma	Olivia	Ava	Sophia	Isabella	Abigail	Taylor
Massachusetts (2007)	Ava	Isabella	Olivia	Emma	Sophia	Abigail	Emily	Madison	Grace
Michigan (2008)	Olivia	Ava	Emma	Madison	Isabella	Sophia	Abigail	Addison	Emily
Minnesota (2008)	Ava	Olivia	Emma	Sophia	Grace	Isabella	Abigail	Ella	Madison
Mississippi (2008)	Madison	Emma	Addison	Ava	Anna	Olivia	Chloe	Makayla	Taylor
Missouri (2008)	Emma	Ava	Madison	Olivia	Chloe	Abigail	Sophia	Isabella	Addison
Montana (2008)	Madison	Olivia	Emma	Isabella	Chloe	Sophia	Grace	Abigail	Elizabeth
Nebraska (2008)	Ava	Addison	Emma	Olivia	Sophia	Ella	Alexis	Grace	Isabella
Nevada (2008)	Emily	Isabella	Olivia	Madison	Sophia	Natalie	Samantha	Abigail	Mia
New Hampshire (2008)	Emma	Olivia	Ava	Madison	Abigail	Sophia	Isabella	Addison	Hannah
New Jersey (2008)	Isabella	Ava	Sophia	Olivia	Emma	Emily	Madison	Samantha	Sarah
New Mexico (2008)	Isabella	Alyssa	Nevaeh	Madison	Olivia	Alexis	Mia	Sophia	Ava
New York (2008)	Isabella	Olivia	Sophia	Madison	Ava	Emma	Emily	Abigail	Sarah
North Carolina (2008)	Emma	Madison	Ava	Emily	Abigail	Olivia	Addison	Elizabeth	Isabella
North Dakota (2008)	Ava	Emma	Sophia	Addison	Ella	Olivia	Abigail	Chloe	Grace
Ohio (2008)	Ava	Olivia	Emma	Madison	Isabella	Abigail	Sophia	Addison	Emily
Oklahoma (2008)	Emma	Madison	Addison	Emily	Ava	Olivia	Chloe	Abigail	Isabella
Oregon (2008)	Olivia	Emma	Ava	Isabella	Emily	Abigail	Sophia	Madison	Elizabeth
Pennsylvania (2008)	Ava	Olivia	Emma	Madison	Isabella	Abigail	Emily	Sophia	Chloe
Puerto Rico (2005)	Paola	Genesis	Gabriela	Alondra	NA	NA	NA	NA	NA
Rhode Island (2008)	Ava	Emma	Olivia	Sophia	Isabella	Madison	Abigail	Grace	Mia
South Carolina (2008)	Madison	Emma	Emily	Abigail	Olivia	Isabella	Ava	Elizabeth	Anna
South Dakota (2008)	Emma	Olivia	Addison	Grace	Ava	Alexis	Ella	Isabella	Elizabeth
Tennessee (2008)	Emma	Madison	Abigail	Addison	Emily	Ava	Chloe	Olivia	Isabella
Texas (2008)	Emily	Isabella	Abigail	Emma	Madison	Sophia	Mia	Natalie	Ashley
Utah (2008)	Olivia	Emma	Abigail	Lily	Elizabeth	Ava	Madison	Addison	Emily
Vermont (2008)	Emma	Elizabeth	Ava	Olivia	Emily	Abigail	Lily	Hannah	Isabella
Virginia (2008)	Emma	Abigail	Madison	Emily	Olivia	Isabella	Sophia	Ava	Elizabeth
Washington (2008)	Olivia	Emma	Ava	Sophia	Emily	Isabella	Abigail	Madison	Chloe
West Virginia (2008)	Emma	Madison	Abigail	Olivia	Emily	Ava	Chloe	Alexis	Addison
Wisconsin (2008)	Ava	Emma	Olivia	Sophia	Isabella	Ella	Emily	Abigail	Addison
Wyoming (2008)	Madison	Emma	Taylor	Abigail	Emily	Ava	Ella	Alexis	Addison
