Team	1st Match	Matches	Lost	% Won
Adelaide	22 March 1991	531	253	52.26
Brisbane Bears	27 March 1987	222	148	32.88
Brisbane Lions	30 March 1997	393	186	51.91
Carlton	8 May 1897	2 377	949	59.38
Collingwood	8 May 1897	2 416	917	61.51
Essendon	8 May 1897	2 342	980	57.43
Fitzroy	8 May 1897	1 928	1 034	45.72
Fremantle	1 April 1995	424	240	43.28
Geelong	8 May 1897	2 307	1 046	54.20
Greater Western Sydney	24 March 2012	42	39	7.14
Gold Coast	2 April 2011	64	51	20.31
Hawthorn	2 May 1925	1 850	954	48.16
Melbourne	8 May 1897	2 284	1 227	45.82
North Melbourne	2 May 1925	1 845	1 016	44.47
Port Adelaide	29 March 1997	389	189	50.77
Richmond	2 May 1908	2 135	1 042	50.68
St Kilda	8 May 1897	2 260	1 355	39.49
Sydney	8 May 1897	2 303	1 203	47.24
University	2 May 1908	126	97	22.22
West Coast	29 March 1987	633	280	55.37
Western Bulldogs	2 May 1925	1 821	989	45.09
Source: AFL Tables. Last updated: 20 August 2013	Source: AFL Tables. Last updated: 20 August 2013	Source: AFL Tables. Last updated: 20 August 2013	Source: AFL Tables. Last updated: 20 August 2013	Source: AFL Tables. Last updated: 20 August 2013
