Round	Race Title	Grand Prix	Circuit	Date
1	Foster's Australian Grand Prix	Australian GP	Albert Park , Melbourne	7 March
2	Petronas Malaysian Grand Prix	Malaysian GP	Sepang International Circuit , Kuala Lumpur	21 March
3	Gulf Air Bahrain Grand Prix	Bahrain GP	Bahrain International Circuit , Sakhir	4 April
4	Gran Premio Foster's di San Marino	San Marino GP	Autodromo Enzo e Dino Ferrari , Imola	25 April
5	Gran Premio Marlboro de España	Spanish GP	Circuit de Catalunya , Barcelona	9 May
6	Grand Prix de Monaco	Monaco GP	Circuit de Monaco , Monte Carlo	23 May
7	Allianz Grand Prix of Europe	European GP	Nürburgring , Nürburg	30 May
8	Grand Prix du Canada	Canadian GP	Circuit Gilles Villeneuve , Montreal	13 June
9	United States Grand Prix	United States GP	Indianapolis Motor Speedway	20 June
10	Mobil 1 Grand Prix de France	French GP	Circuit de Nevers Magny-Cours , Magny Cours	4 July
11	Foster's British Grand Prix	British GP	Silverstone Circuit , Silverstone	11 July
12	Großer Mobil 1 Preis von Deutschland	German GP	Hockenheimring , Hockenheim	25 July
13	Marlboro Magyar Nagydíj	Hungarian GP	Hungaroring , Budapest	15 August
14	Belgian Grand Prix	Belgian GP	Circuit de Spa-Francorchamps , Spa	29 August
15	Gran Premio Vodafone d'Italia	Italian GP	Autodromo Nazionale Monza , Monza	12 September
16	Sinopec Chinese Grand Prix	Chinese GP	Shanghai International Circuit , Shanghai	26 September
17	Fuji Television Japanese Grand Prix	Japanese GP	Suzuka Circuit , Suzuka	10 October
18	Grande Prêmio do Brasil	Brazilian GP	Autódromo José Carlos Pace , São Paulo	24 October
