Version	Length	Album	Remixed by	Year
Album version	4:24	Innamoramento , Les Mots	—	1999
Single version	4:16	—	—	1999
Promotional single version	4:12	—	—	1999
Instrumental	4:23	—	—	1999
Perky Park pique dames club mix	6:38	—	Perky Park	1999
Perky Park pique d'âme dub mix	6:52	—	Perky Park	1999
Lady Bee by Lady B's remix	6:27	—	Lady B, aka Bruno Gauthier	1999
Music video	7:50	Music Videos III , Music Videos II & III	—	1999
Live version (recorded in 2000)	5:59 (audio) 5:45 (video)	Mylenium Tour	—	2000
Full intention sultra mix	7:57	RemixeS	Full Intention	2003
Live version (recorded in 2009)	5:27	N°5 on Tour	—	2009
