#	Date	Team	Score	Location Attendance	High Points	High Rebounds	High Assists	Record
3	November 3	vs. Denver	L 93–111	Conseco Fieldhouse 10,627	D. Jones (20)	R. Hibbert (12)	L. Head (3)	0–3
4	November 4	@ New York	W 101–89	Madison Square Garden 19,273	D. Granger (21)	R. Hibbert (14)	D. Granger (4)	1–3
5	November 6	vs. Washington	W 102–86	Conseco Fieldhouse 14,556	D. Granger (22)	R. Hibbert (11)	D. Jones (5)	2–3
6	November 11	vs. Golden State	W 108–94	Conseco Fieldhouse 10,682	D. Granger (31)	D. Granger (16)	R. Hibbert (4)	3–3
7	November 14	vs. Boston	W 113–104	Conseco Fieldhouse 18,165	D. Granger (29)	B. Rush (8)	E. Watson (7)	4–3
8	November 17	@ New Jersey	W 90–81	Izod Center 11,332	D. Granger (22)	R. Hibbert (10)	D. Jones (4) T. Ford (4)	5–3
9	November 18	vs. New York	L 103– 110	Conseco Fieldhouse 12,258	D. Granger (33)	R. Hibbert (12)	T. Ford (5)	5–4
10	November 20	vs. Cleveland	L 95–105	Conseco Fieldhouse 18,165	D. Granger (19)	T. Murphy (10)	D. Granger (5)	5–5
11	November 22	@ Charlotte	L 88–104	TWC Arena 14,730	D. Jones (19)	T. Murphy (8)	E. Watson (5)	5–6
12	November 24	@ Toronto	L 112–123	Air Canada Centre 17,136	D. Granger (36)	D. Granger (9)	D. Granger (5) T. Murphy (5) E. Watson (5)	5–7
13	November 25	vs. LA Clippers	W 86–73	Conseco Fieldhouse 12,350	T. Murphy (18) D. Jones (18)	T. Murphy (11) B. Rush (11)	T. Ford (6)	6–7
14	November 27	vs. Dallas	L 92–113	Conseco Fieldhouse 16,613	D. Granger (20)	J. Foster (6)	T. Ford (5)	6–8
