Week	Date	Opponent	Result	Attendance
1	September 25, 1955	at San Francisco 49ers	W 23-14	60,100
2	October 2, 1955	Pittsburgh Steelers	W 27-26	45,816
3	October 9, 1955	at Detroit Lions	W 17-10	54,836
4	October 16, 1955	at Green Bay Packers	L 30-28	26,960
5	October 23, 1955	Detroit Lions	W 24-13	68,690
6	October 30, 1955	Chicago Bears	L 31-20	69,587
7	November 6, 1955	San Francisco 49ers	W 27-14	85,302
8	November 13, 1955	at Chicago Bears	L 24-3	50,187
9	November 20, 1955	at Baltimore Colts	T 17-17	41,186
10	November 27, 1955	at Philadelphia Eagles	W 23-21	31,648
11	December 4, 1955	Baltimore Colts	W 20-14	37,024
12	December 11, 1955	Green Bay Packers	W 31-17	90,535
