Date	Opponent	Venue	Result	Attendance
14 August 2004	Manchester City	A	1-1	44,026
21 August 2004	Bolton Wanderers	H	2-0	17,541
25 August 2004	Middlesbrough	H	0-2	17,759
30 August 2004	Portsmouth	A	3-4	19,728
11 September 2004	Arsenal	H	0-3	21,681
18 September 2004	West Bromwich Albion	A	1-1	24,128
25 September 2004	Southampton	H	1-0	19,237
4 October 2004	Crystal Palace	A	0-2	21,825
16 October 2004	Liverpool	H	2-4	21,884
23 October 2004	Aston Villa	A	0-2	34,460
30 October 2004	Tottenham Hotspur	H	2-0	21,137
7 November 2004	Newcastle United	A	4-1	51,118
13 November 2004	Chelsea	H	1-4	21,877
20 November 2004	Everton	A	0-1	34,763
27 November 2004	Blackburn Rovers	H	0-2	19,103
4 December 2004	Norwich City	A	1-0	23,755
13 December 2004	Manchester United	H	1-1	21,940
20 December 2004	Charlton Athletic	A	1-2	26,108
26 December 2004	Arsenal	A	0-2	38,047
28 December 2004	Birmingham City	H	2-3	18,706
1 January 2005	Crystal Palace	H	3-1	18,680
5 January 2005	Southampton	A	3-3	27,343
16 January 2005	West Bromwich Albion	H	1-0	16,180
22 January 2005	Birmingham City	A	2-1	28,512
2 February 2005	Aston Villa	H	1-1	17,624
5 February 2005	Liverpool	A	1-3	43,534
26 February 2005	Tottenham Hotspur	A	0-2	35,885
5 March 2005	Charlton Athletic	H	0-0	18,290
19 March 2005	Manchester United	A	0-1	67,959
3 April 2005	Portsmouth	H	3-1	20,502
9 April 2005	Bolton Wanderers	A	1-3	25,493
16 April 2005	Manchester City	H	1-1	21,796
19 April 2005	Middlesbrough	A	1-1	30,650
23 April 2005	Chelsea	A	1-3	42,081
30 April 2005	Everton	H	2-0	21,881
4 May 2005	Newcastle United	H	1-3	19,003
7 May 2005	Blackburn Rovers	A	3-1	18,991
15 May 2005	Norwich City	H	6-0	21,927
