Game	Date	Opponent	Score	Decision	Location/Attendance	Record
23	4	Philadelphia Flyers	3-2 (OT)	Clemmensen	Wachovia Center - 19,577	13-8-2
24	6	Montreal Canadiens	2-1 (OT)	Clemmensen	Bell Centre - 21,273	14-8-2
25	10	Pittsburgh Penguins	1-4	Clemmensen	Prudential Center - 16,808	15-8-2
26	12	New York Rangers	5-8	Clemmensen	Prudential Center - 17,625	16-8-2
27	13	Buffalo Sabres	4-2	Weekes	Prudential Center - 15,713	16-9-2
28	16	Toronto Maple Leafs	2-3 (SO)	Clemmensen	Air Canada Centre - 19,315	16-9-3
29	17	Buffalo Sabres	5-3	Clemmensen	HSBC Arena - 18,690	17-9-3
30	19	Ottawa Senators	1-5	Clemmensen	Prudential Center - 16,400	18-9-3
31	21	Philadelphia Flyers	3-2	Clemmensen	Prudential Center - 14,426	19-9-3
32	23	Boston Bruins	2-0	Clemmensen	Prudential Center - 16,305	19-10-3
33	26	Pittsburgh Penguins	1-0	Clemmensen	Prudential Center - 15,204	19-11-3
34	27	New York Rangers	4-2	Clemmensen	Madison Square Garden - 18,200	20-11-3
35	30	St. Louis Blues	4-3	Clemmensen	Scottrade Center - 19,150	21-11-3
36	31	Dallas Stars	2-4	Clemmensen	American Airlines Center - 18,584	21-12-3
