Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Benetton - Renault	44	1:36:47.875	16
Damon Hill	Williams - Renault	44	+19.493	8
Martin Brundle	Ligier - Mugen-Honda	44	+24.998	13
Heinz-Harald Frentzen	Sauber - Ford	44	+26.972	10
Mark Blundell	McLaren - Mercedes	44	+33.772	6
Rubens Barrichello	Jordan - Peugeot	44	+39.674	12
Johnny Herbert	Benetton - Renault	44	+54.043	4
Mika Salo	Tyrrell - Yamaha	44	+54.548	11
Olivier Panis	Ligier - Mugen-Honda	44	+1:06.170	9
Pedro Lamy	Minardi - Ford	44	+1:19.789	17
Jean-Christophe Boullion	Sauber - Ford	43	+1 Lap	14
Taki Inoue	Footwork - Hart	43	+1 Lap	18
Pedro Diniz	Forti - Ford	42	+2 Laps	24
Roberto Moreno	Forti - Ford	42	+2 Laps	22
Ukyo Katayama	Tyrrell - Yamaha	28	Spun off	15
Giovanni Lavaggi	Pacific - Ford	27	Gearbox	23
Luca Badoer	Minardi - Ford	23	Accident	19
Gerhard Berger	Ferrari	22	Electrical	1
Eddie Irvine	Jordan - Peugeot	21	Fire	7
Massimiliano Papis	Footwork - Hart	20	Spun off	20
Andrea Montermini	Pacific - Ford	18	Out of fuel	21
David Coulthard	Williams - Renault	13	Gearbox	5
Jean Alesi	Ferrari	4	Suspension	2
Mika Häkkinen	McLaren - Mercedes	1	Spun off	3
