Driver	Constructor	Laps	Time/Retired	Grid
Michael Schumacher	Ferrari	62	2:00:05.654	2
Rubens Barrichello	Stewart - Ford	62	+53.306	10
Eddie Irvine	Ferrari	62	+1:22.108	15
Olivier Panis	Prost - Mugen-Honda	62	+1:44.402	12
Mika Salo	Tyrrell - Ford	61	+1 Lap	14
Giancarlo Fisichella	Jordan - Peugeot	61	+1 Lap	4
Jan Magnussen	Stewart - Ford	61	+1 Lap	19
Jos Verstappen	Tyrrell - Ford	60	+2 Laps	22
Gerhard Berger	Benetton - Renault	60	+2 Laps	17
Ukyo Katayama	Minardi - Hart	60	+2 Laps	20
Heinz-Harald Frentzen	Williams - Renault	39	Accident	1
Shinji Nakano	Prost - Mugen-Honda	36	Accident	21
Nicola Larini	Sauber - Petronas	24	Accident	11
Jean Alesi	Benetton - Renault	16	Spun off	9
Jacques Villeneuve	Williams - Renault	16	Accident damage	3
Ralf Schumacher	Jordan - Peugeot	10	Accident	6
Johnny Herbert	Sauber - Petronas	9	Accident	7
Jarno Trulli	Minardi - Hart	7	Accident	18
David Coulthard	McLaren - Mercedes	1	Accident	5
Mika Häkkinen	McLaren - Mercedes	1	Collision	8
Damon Hill	Arrows - Yamaha	1	Collision	13
Pedro Diniz	Arrows - Yamaha	0	Spun off	16
