Year	Title	Role	Network	Notes
2004	Epik High's Love and Delusion	Himself	Mnet	Series regular
2005	Nonstop	Tablo	MBC	Main role; season 5
2007	High Kick!	Teacher	MBC	Cameo appearance (Episode 150)
2008	Woman of Matchless Beauty	Himself	MBC	Cameo appearance (Episodes 7 & 8)
2008	Music Bank	Co-host	KBS2	Alongside Kim Sung-eun and Min Seo-hyun
2009	Mnet Director's Cut	Himself	Mnet	Television movie
2010	Happy Together	Himself	KBS	Celebrity guest (Season 3, Episode 144)
2010	Happy Birthday	Himself	KBS2	Series regular
2012	Strong Heart	Himself	SBS	Celebrity guest alongside YG Family
2012	Healing Camp, Aren't You Happy	Himself	SBS	Celebrity guest (November 5th)
2013	Superman is Back	Himself	KBS2	Series Regular
