Rank	Artist	Album	Peak position	Sales	Certification
1	Celine Dion	Taking Chances	1	400,000	4x Platinum
2	Michael Bublé	Call Me Irresponsible	1	400,000	4x Platinum
3	Anne Murray	Anne Murray Duets: Friends and Legends	2	200,000	2x Platinum
4	Avril Lavigne	The Best Damn Thing	1	200,000	2x Platinum
5	Celine Dion	D'elles	1	200,000	2x Platinum
6	Feist	The Reminder	2	200,000	2x Platinum
7	Kalan Porter	Wake Up Living	4	200,000	2x Platinum
8	Three Days Grace	One-X	2	200,000	2x Platinum
9	Arcade Fire	Neon Bible	1	100,000	Platinum
10	Hedley	Famous Last Words	3	100,000	Platinum
