Round	Overall	Player	Position	School/Club Team
1	16	Steve Holden	Wide Receiver	Arizona State
1	22	Pete Adams	Guard	USC
2	30	Greg Pruitt	Running Back	Oklahoma
2	47	Jim Steinke	Defensive Back	Texas State
3	67	Bob Crum	Defensive End	Arizona
4	93	Andy Dorris	Defensive End	New Mexico State
4	100	Randy Mattingly	Quarterback	Evansville
6	150	Van Green	Defensive Back	Shaw
9	228	Curtis Wester	Guard	Texas A&M University-Commerce
10	256	Tommy Humphrey	Center	Abilene Christian
11	281	Carl Barisich	Defensive Tackle	Princeton
12	306	Stan Simmons	Tight End	Lewis & Clark
13	334	Jim Romaniszyn	Linebacker	Edinboro
14	359	Robert Popelka	Defensive Back	SMU
15	384	Dave Sullivan	Wide Receiver	Virginia
16	412	George Greenfield	Running Back	Murray State
17	437	Robert McClowry	Center	Michigan State
