Tie no	Home team	Score	Away team	Attendance
1	Chesterfield	2–0	Bristol City	14 January 1997
2	Liverpool	1–0	Burnley	33,252
3	Watford	2–0	Oxford United	21 January 1997
4	Reading	3–1	Southampton	4 January 1997
5	Gillingham	0–2	Derby County	21 January 1997
6	Leicester City	2–0	Southend United	15 January 1997
7	Notts County	0–0	Aston Villa	14 January 1997
Replay	Aston Villa	3–0	Notts County	22 January 1997
8	Nottingham Forest	3–0	Ipswich Town	4 January 1997
9	Blackburn Rovers	1–0	Port Vale	4 January 1997
10	Sheffield Wednesday	7–1	Grimsby Town	4 January 1997
11	Wolverhampton Wanderers	1–2	Portsmouth	4 January 1997
12	Crewe Alexandra	1–1	Wimbledon	14 January 1997
Replay	Wimbledon	2–0	Crewe Alexandra	21 January 1997
13	Middlesbrough	6–0	Chester City	4 January 1997
14	Luton Town	1–1	Bolton Wanderers	21 January 1997
Replay	Bolton Wanderers	6–2	Luton Town	25 January 1997
15	Everton	3–0	Swindon Town	5 January 1997
16	Wrexham	1–1	West Ham United	4 January 1997
Replay	West Ham United	0–1	Wrexham	25 January 1997
17	Hednesford Town	1–0	York City	13 January 1997
18	Wycombe Wanderers	0–2	Bradford City	5 January 1997
19	Queens Park Rangers	1–1	Huddersfield Town	4 January 1997
Replay	Huddersfield Town	1–2	Queens Park Rangers	14 January 1997
20	Barnsley	2–0	Oldham Athletic	14 January 1997
21	Brentford	0–1	Manchester City	25 January 1997
22	Coventry City	1–1	Woking	25 January 1997
Replay	Woking	1–2	Coventry City	4 February 1997
23	Manchester United	2–0	Tottenham Hotspur	5 January 1997
24	Norwich City	1–0	Sheffield United	4 January 1997
25	Plymouth Argyle	0–1	Peterborough United	4 January 1997
26	Carlisle United	1–0	Tranmere Rovers	14 January 1997
27	Crystal Palace	2–2	Leeds United	14 January 1997
Replay	Leeds United	1–0	Crystal Palace	25 January 1997
28	Chelsea	3–0	West Bromwich Albion	4 January 1997
29	Charlton Athletic	1–1	Newcastle United	5 January 1997
Replay	Newcastle United	2–1	Charlton Athletic	15 January 1997
30	Arsenal	1–1	Sunderland	4 January 1997
Replay	Sunderland	0–2	Arsenal	15 January 1997
31	Stoke City	0–2	Stockport County	15 January 1997
32	Birmingham City	2–0	Stevenage Borough	4 January 1997
