Driver	Constructor	Laps	Time/Retired	Grid
Jo Siffert	Lotus - Ford	80	2:01:20.3	4
Chris Amon	Ferrari	80	+ 4.4	3
Jacky Ickx	Ferrari	79	+ 1 Lap	12
Denny Hulme	McLaren - Ford	79	+ 1 Lap	11
John Surtees	Honda	78	+ 2 Laps	9
Jackie Stewart	Matra - Ford	78	+ 2 Laps	7
Bruce McLaren	McLaren - Ford	77	+ 3 Laps	10
Piers Courage	BRM	72	+ 8 Laps	16
Jochen Rindt	Brabham - Repco	55	Fuel Leak	5
Pedro Rodríguez	BRM	52	Engine	13
Silvio Moser	Brabham - Repco	52	Not Classified	19
Jackie Oliver	Lotus - Ford	43	Transmission	2
Robin Widdows	Cooper - BRM	34	Ignition	18
Graham Hill	Lotus - Ford	26	Halfshaft	1
Vic Elford	Cooper - BRM	26	Engine	7
Jean-Pierre Beltoise	Matra	11	Engine	14
Richard Attwood	BRM	10	Radiator	15
Dan Gurney	Eagle - Weslake	8	Fuel Pump	6
Jo Bonnier	McLaren - BRM	6	Engine	20
Jack Brabham	Brabham - Repco	0	Engine	8
