Date	Tournament	Surface	Partner	Opponent in the final	Score
April 10, 1994	Tokyo, Japan	Hard	Mami Donoshiro	Yayuk Basuki Nana Miyagi	6–4, 6–1
January 14, 1995	Hobart , Australia	Hard	Kyōko Nagatsuka	Manon Bollegraf Larisa Neiland	2–6, 6–4, 6–2
April 21, 1996	Tokyo, Japan	Hard	Kimiko Date	Amy Frazier Kimberly Po	7–6, 6–7, 6–3
September 21, 1997	Tokyo, Japan	Hard	Monica Seles	Julie Halard-Decugis Chanda Rubin	6–1, 6–0
January 10, 1998	Hope Island , Australia	Hard	Elena Likhovtseva	Park Sung-hee Wang Shi-ting	1–6, 6–3, 6–4
October 31, 1998	Luxembourg , Luxembourg	Carpet	Elena Likhovtseva	Larisa Neiland Elena Tatarkova	6–7, 6–3, 2–0 ret.
November 8, 1998	Leipzig , Germany	Carpet	Elena Likhovtseva	Manon Bollegraf Irina Spîrlea	6–3, 6–7, 6–2
November 15, 1998	Philadelphia , United States	Carpet	Elena Likhovtseva	Monica Seles Natasha Zvereva	7–5, 4–6, 6–2
January 16, 1999	Sydney, Australia	Hard	Elena Likhovtseva	Mary Joe Fernández Anke Huber	6–3, 2–6, 6–0
May 22, 1999	Strasbourg , France	Clay	Elena Likhovtseva	Alexandra Fusai Nathalie Tauziat	2–6, 7–6, 6–1
January 15, 2000	Sydney, Australia	Hard	Julie Halard-Decugis	Martina Hingis Mary Pierce	6–0, 6–3
April 2, 2000	Miami , United States	Hard	Julie Halard-Decugis	Nicole Arendt Manon Bollegraf	4–6, 7–5, 6–4
June 24, 2000	Eastbourne , Great Britain	Grass	Nathalie Tauziat	Lisa Raymond Rennae Stubbs	2–6, 6–3, 7–6(3)
August 27, 2000	New Haven , United States	Hard	Julie Halard-Decugis	Virginia Ruano Pascual Paola Suárez	6–4, 5–7, 6–2
September 10, 2000	New York, United States	Hard	Julie Halard-Decugis	Cara Black Elena Likhovtseva	6–0, 1–6, 6–1
October 8, 2000	Tokyo, Japan	Hard	Julie Halard-Decugis	Nana Miyagi Paola Suárez	6–0, 6–2
October 29, 2000	Moscow, Russia	Carpet	Julie Halard-Decugis	Martina Hingis Anna Kournikova	4–6, 6–4, 7–6(5)
January 13, 2001	Canberra , Australia	Hard	Nicole Arendt	Esme De Villiers Annabel Ellwood	6–4, 7–6(2)
March 17, 2001	Indian Wells , United States	Hard	Nicole Arendt	Virginia Ruano Pascual Paola Suárez	6–4, 6–4
February 23, 2002	Memphis , United States	Hard	Elena Tatarkova	Melissa Middleton Brie Rippner	6–4, 2–6, 6–0
January 11, 2003	Sydney, Australia	Hard	Kim Clijsters	Conchita Martínez Rennae Stubbs	6–3, 6–3
February 16, 2003	Antwerp , Belgium	Carpet	Kim Clijsters	Nathalie Dechy Émilie Loit	6–2, 6–0
March 2, 2003	Scottsdale , United States	Hard	Kim Clijsters	Lindsay Davenport Lisa Raymond	6–1, 6–4
June 8, 2003	Paris, France	Clay	Kim Clijsters	Virginia Ruano Pascual Paola Suárez	6–7(5), 6–2, 9–7
July 6, 2003	London, Great Britain	Grass	Kim Clijsters	Virginia Ruano Pascual Paola Suárez	6–4, 6–4
August 3, 2003	San Diego , United States	Hard	Kim Clijsters	Lindsay Davenport Lisa Raymond	6–4, 7–5
October 19, 2003	Zürich , Switzerland	Hard	Kim Clijsters	Virginia Ruano Pascual Paola Suárez	7–6(3), 6–2
October 26, 2003	Linz , Austria	Hard	Liezel Huber	Marion Bartoli Silvia Farina Elia	6–1, 7–6(6)
August 8, 2004	Montreal , Canada	Hard	Shinobu Asagoe	Liezel Huber Tamarine Tanasugarn	6–0, 6–3
September 19, 2004	Bali , Indonesia	Hard	Anastasia Myskina	Svetlana Kuznetsova Arantxa Sánchez Vicario	6–3, 7–5
June 12, 2005	Birmingham , Great Britain	Grass	Daniela Hantuchová	Eleni Daniilidou Jennifer Russell	6–2, 6–3
March 4, 2006	Doha , Qatar	Hard	Daniela Hantuchová	Li Ting Sun Tiantian	6–4, 6–4
May 21, 2006	Rome, Italy	Clay	Daniela Hantuchová	Květa Peschke Francesca Schiavone	3–6, 6–3, 6–1
August 19, 2007	Toronto , Canada	Hard	Katarina Srebotnik	Cara Black Liezel Huber	6–4, 2–6 [10–5]
April 6, 2008	Miami , U.S.	Hard	Katarina Srebotnik	Cara Black Liezel Huber	7–5, 4–6 [10–3]
April 20, 2008	Charleston, South Carolina , U.S.	Clay	Katarina Srebotnik	Edina Gallovits Olga Govortsova	6–2, 6–2
October 26, 2008	Linz , Austria	Hard(i)	Katarina Srebotnik	Cara Black Liezel Huber	6–4, 7–5
June 20, 2009	Eastbourne , Great Britain	Grass	Akgul Amanmuradova	Samantha Stosur Rennae Stubbs	6–4, 6–3
