No	Player	Height	Position	Year born	Current Club
4	Marco Belinelli	1.96	Guard	1986	Golden State Warriors
5	Gianluca Basile	1.95	Guard	1975	AXA FC Barcelona
6	Stefano Mancinelli	2.03	Forward	1983	Climamio Bologna
7	Matteo Soragna	1.97	Guard	1975	Benetton Treviso
8	Denis Marconato	2.12	Center	1975	AXA FC Barcelona
9	Marco Mordente	1.90	Guard	1979	Benetton Treviso
10	Andrea Bargnani	2.12	Forward	1985	Toronto Raptors
11	Andrea Crosariol	2.13	Center	1984	VidiVici Bologna
12	Massimo Bulleri	1.87	Guard	1977	Armani Jeans Milano
13	Fabio Di Bella	1.86	Guard	1978	VidiVici Bologna
14	Luigi Datome	2.02	Forward	1987	Legea Scafati
