Class	Number range	Quantity	Year(s) Built	Type
S 1 ( de )	1–100	14	1884–1887	1B n2v
S 1 ( de )	1–100	260	1885–1898	1B n2
S 2 ( de )	101–200	2	1890	2′B n2v
S 2 ( de )	101–200	2	1891	2′B n2
S 2 ( de )	101–200	2	1891	2′B n2v
S 2 ( de )	101–200	148	1892–1893	2′B n2
S 2 ( de )	101–200	1	1892	2′B n2
S 3	201–400	1027	1893–1903	2′B n2v
S 3	201–400	(26)	(1904–1908)	2′B n2v
S 4	401–500	1	1898	2′B h2
S 4	401–500	2	1899–1900	2′B h2
S 4	401–500	104	1898–1909	2′B h2
S 5 1 ( de )	501–600	1	1894	2′B n4v
S 5 1 ( de )	501–600	17	1900–1903	2′B n4v
S 5 1 ( de )	501–600	22	1902–1903	2′B n4v
S 5 2 ( de )	501–600	367	1905–1911	2′B n2v
S 6	601–700	584	1906–1913	2′B h2
S 7 ( de )	701–800	159	1902–1906	2′B1′ n4v
S 7 ( de )	701–800	79	1902–1905	2′B1′ n4v
S 8	801–900	(2)	(1913–1914)	2′B1′ h4v
S 9 (Experimental) ( de )	901–1000	2	1904	2′B2′ n3v
S 9	901–1000	99	1908–1910	2′B1′ n4v
S 10	1001–1100	202	1910–1914	2′C h4
S 10 1	1101–1200	145	1911–1914	2′C h4v
S 10 1	1101–1200	92	1914–1916	2′C h4v
S 10 2	1201–1300	124	1914–1916	2′C h3
S 11 ( de )	1301–	7	1918	1′C2′ h4v
