Rank	Name	Height ft (m)	Floors	Year
1	Transamerica Pyramid	853 (260)	48	1972
2	555 California Street	779 (237)	52	1969
3	345 California Center	695 (212)	48	1986
4	Millennium Tower	645 (197)	58	2009
5	One Rincon Hill South Tower	641 (195)	60	2008
6	50 Fremont Center	600 (183)	43	1985
6	101 California Street	600 (183)	48	1982
8	Chevron Tower	573 (175)	40	1975
9	Four Embarcadero Center	570 (174)	45	1982
10	One Embarcadero Center	569 (173)	45	1971
11	44 Montgomery Street	565 (172)	43	1967
12	Spear Tower	564 (172)	43	1976
13	One Sansome Street	550 (168)	41	1984
14	One Front Street	538 (164)	38	1979
15	First Market Tower	529 (161)	39	1973
15	McKesson Plaza	529 (161)	38	1969
17	425 Market Street	525 (160)	38	1973
18	Post Montgomery Center	500 (152)	38	1982
19	333 Bush Street	495 (151)	43	1986
20	Hilton San Francisco Tower I	493 (150)	46	1971
21	Pacific Gas & Electric Building	492 (150)	34	1971
22	50 California Street	487 (148)	37	1972
22	555 Mission Street	487 (148)	33	2008
24	St. Regis San Francisco	484 (147)	42	2005
25	100 Pine Center	476 (145)	33	1972
25	45 Fremont Street	476 (145)	34	1978
27	333 Market Street	472 (144)	33	1979
28	650 California Street	466 (142)	34	1964
29	100 First Plaza	447 (136)	27	1988
30	One California	438 (134)	32	1969
31	San Francisco Marriott Marquis	436 (133)	39	1989
32	Russ Building	435 (132)	32	1927
32	140 New Montgomery	435 (132)	26	1925
34	The Infinity II	420 (128)	41	2009
34	JP MorganChase Building	420 (128)	31	2002
34	The Paramount	420 (128)	40	2002
37	Providian Financial Building	417 (127)	30	1981
38	Three Embarcadero Center	413 (126)	31	1977
38	Two Embarcadero Center	413 (126)	30	1974
40	595 Market Street	410 (125)	30	1979
41	123 Mission Street	407 (124)	29	1986
42	101 Montgomery	404 (123)	28	1984
42	Embarcadero West	404 (123)	34	1989
44	100 Van Ness Avenue	400 (122)	29	1974
