Pts Rank	Club	Appearances vs Seasons	Appearances Percetages	PPG Rank
1	Los Angeles Galaxy	13 / 16	81.25%	1
2	D.C. United	9 / 16	56.25%	2
3	Chicago Fire	11 / 14	78.57%	4
4	Columbus Crew	11 / 16	68.75%	7
5	New England Revolution	10 / 16	62.50%	6
6	Sporting Kansas City	10 / 16	62.50%	9
7	Colorado Rapids	11 / 16	68.75%	10
8	San Jose Earthquakes	7 / 14	50.00%	5
9	New York Red Bulls	12 / 16	75.00%	11
10	FC Dallas	12 / 16	75.00%	12
11	Houston Dynamo	5 / 6	83.33%	3
12	Real Salt Lake	4 / 7	57.14%	8
13	Miami Fusion	3 / 4	75.00%	13
14	Chivas USA	4 / 7	57.14%	14
15	Tampa Bay Mutiny	4 / 6	66.67%	16
16	Seattle Sounders FC	3 / 3	100.00%	15
17	Philadelphia Union	1 / 2	50.00%	17
18	Montreal Impact	0 / 0	00.00%	18
19=	Portland Timbers	0 / 1	00.00%	19=
19=	Vancouver Whitecaps FC	0 / 1	00.00%	19=
21	Toronto FC	0 / 5	00.00%	21
