Rank	Company Name	2008 Rank	2009 Revenue	North American Brands	World Headquarters	Country
1	Toyota Industries	1	$4,600,000,000	Toyota , BT , Raymond	Aichi	Japan
2	KION Group	2	$4,100,000,000	VOLTAS , Linde , STILL , OM , Baoli	Wiesbaden	Germany
3	Jungheinrich Lift Truck Corp.	3	$2,300,000,000	Jungheinrich	Hamburg	Germany
4	Crown Equipment Corporation	5	$1,600,000,000	Crown , Hamech	New Bremen, Ohio	USA
5	NACCO Industries, Inc.	4	$1,500,000,000	Hyster , Yale	Cleveland, Ohio	USA
6	Mitsubishi Caterpillar Forklift America Inc.	6	$920,000,000	Mitsubishi , CAT	Sagamihara	Japan
7	Komatsu Utility Co.	8	$750,000,000	Komatsu , Tusk	Tokyo	Japan
8	Anhui Forklift Group	9	$668,000,000	Heli	Hefei, Anhui	China
9	Nissan Forklift Corp.	7	$624,000,000	Nissan , Barrett , Atlet	Tokyo	Japan
10	TCM Corp.	10	$593,000,000	TCM	Osaka	Japan
11	Nippon Yusoki Co.	11	$559,000,000	Not available in N. A.	Nagaokakyo, Kyoto	Japan
12	Doosan Infracore	15	$418,000,000	Doosan	Seoul	South Korea
13	Clark Material Handling Company	12	$405,000,000	Clark	Seoul	South Korea
14	Manitou	13	$296,000,000	Manitou	Ancenis	France
15	Zhejiang Hangcha Engineering Machinery Co.	14	$251,000,000	HC	Hangzhou	China
16	Hyundai Heavy Industries	16	$237,000,000	Hyundai	Ulsan	South Korea
17	Tailift	18	$100,000,000	Tailift , Worldlift	Taichung	Taiwan
18	Combilift	19	$98,000,000	Combilift	Monaghan	Ireland
19	Hytsu	N/A	$86,000,000	Hytsu	Shanghai	China
