Week	Date	Opponent	Result	Attendance
1	September 15, 1963	Washington Redskins	W 37–14	57,618
2	September 22, 1963	at Dallas Cowboys	W 41–24	28,710
3	September 29, 1963	Los Angeles Rams	W 20–6	54,713
4	October 5, 1963	Pittsburgh Steelers	W 35–23	84,684
5	October 13, 1963	at New York Giants	W 35–24	62,956
6	October 20, 1963	Philadelphia Eagles	W 37–7	75,174
7	October 27, 1963	New York Giants	L 33–6	84,213
8	November 3, 1963	at Philadelphia Eagles	W 23–17	60,671
9	November 10, 1963	at Pittsburgh Steelers	L 9–7	54,497
10	November 17, 1963	St. Louis Cardinals	L 20–14	75,932
11	November 24, 1963	Dallas Cowboys	W 27–17	55,096
12	December 1, 1963	at St. Louis Cardinals	W 24–10	32,531
13	December 8, 1963	at Detroit Lions	L 38–10	51,382
14	December 15, 1963	at Washington Redskins	W 27–20	40,865
