Round	Pick	Player	Nationality	College
1	15	John Hummer	United States	Princeton
2	24	Cornell Warner	United States	Jackson State
3	43	Chip Case	United States	Virginia
4	58	Ervin Polnick	United States	Austin State
5	77	Robert Moore	United States	Central State
6	92	Doug Hess	United States	Toledo
7	111	Cliff Shegogg	United States	Colorado State
8	126	Larry Woods	United States	West Virginia
9	145	Larry Duckworth	United States	Henderson State
10	160	Joe Taylor	United States	Dillard
11	177	Dick Walker	United States	Wake Forest
