Year	Network	Play-by-play	Color commentator(s)	Ice level reporters
1999	Fox	Mike Emrick	John Davidson	Joe Micheletti
1998	Fox	Mike Emrick	John Davidson	Joe Micheletti
1997	Fox	Mike Emrick	John Davidson	Joe Micheletti
1996	Fox	Mike Emrick	John Davidson	Joe Micheletti
1995	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .	Canceled due to 1994–95 NHL lockout .
1994	NBC	Marv Albert	John Davidson	Bill Clement and Brenda Brenon
1993	NBC	Marv Albert	John Davidson	Ron MacLean
1992	NBC	Marv Albert	John Davidson	Bill Clement
1991	NBC	Marv Albert	John Davidson	Bill Clement
1990	NBC	Marv Albert	John Davidson	Mike Emrick
