Country	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	Total
Austria	0	0	0	1	1	1	0	0	0	1	2	0	1	0	0	0	7
Belgium	1	1	0	0	1	3	1	1	2	1	1	0	0	0	0	0	12
Bulgaria	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2
Czech Republic	0	0	0	0	0	0	0	1	2	0	0	0	2	1	1	0	7
Denmark	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	3
Estonia	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3
Finland	1	1	0	1	1	1	1	0	3	2	1	1	1	0	1	0	15
France	2	2	2	2	1	3	4	7	5	5	2	2	5	2	0	0	44
Germany	0	0	2	2	0	1	4	0	1	1	2	1	0	0	3	0	17
Greece	1	1	0	1	1	1	0	0	0	0	1	0	0	1	2	0	9
Hungary	0	0	0	0	0	0	0	0	1	1	1	1	1	0	1	2	8
Ireland	2	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	5
Italy	1	1	0	2	3	1	3	2	2	7	9	10	10	8	3	1	63
Latvia	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2
Lithuania	0	0	0	0	0	0	0	2	1	2	1	0	2	1	2	2	13
Malta	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2
Netherlands	1	2	1	3	0	0	0	0	0	1	1	0	0	0	1	0	10
Poland	0	0	0	0	0	0	0	3	3	4	6	8	10	3	5	8	50
Portugal	1	1	0	0	0	1	1	1	1	3	1	0	0	2	0	1	13
Romania	0	0	0	0	0	0	0	0	0	0	0	0	3	2	4	2	11
Slovakia	0	0	0	0	0	0	0	1	0	3	2	0	0	0	0	1	7
Slovenia	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2
Spain	1	2	2	2	2	2	10	5	8	6	7	10	10	3	2	1	73
Sweden	1	1	1	2	2	2	2	1	0	0	0	0	0	0	0	0	12
United Kingdom	1	2	0	0	0	0	0	0	0	3	1	1	0	4	3	0	15
Total	14	15	10	16	12	17	26	24	31	40	40	35	46	29	30	20	405
