Game	February	Opponent	Score	Decision	Record
54	1	@ New Jersey Devils	3 - 1	Lundqvist	26-22-6
55	3	@ Montreal Canadiens	5 - 3	Lundqvist	27-22-6
56	5	Los Angeles Kings	4 - 2	Lundqvist	27-23-6
57	7	Anaheim Ducks	4 - 1	Lundqvist	27-24-6
58	9	@ Philadelphia Flyers	2 - 0	Valiquette	28-24-6
59	10	@ Washington Capitals	3 - 2 OT	Valiquette	28-24-7
60	16	Buffalo Sabres	5 - 1	Lundqvist	29-24-7
61	17	San Jose Sharks	3 - 1	Lundqvist	30-24-7
62	19	@ Montreal Canadiens	6 - 5 SO	Lundqvist	30-24-8
63	23	@ Buffalo Sabres	4 - 3	Lundqvist	31-24-8
64	24	Florida Panthers	5 - 0	Lundqvist	32-24-8
65	28	@ Carolina Hurricanes	4 - 2	Lundqvist	33-24-8
