State	Swimsuit	Evening gown	Interview	Average
Alabama	7.28	7.17	7.20	7.22
Alaska	7.53	7.20	8.74	7.82
Arizona	7.86	7.37	7.59	7.61
Arkansas	6.39	6.40	7.39	6.73
California	7.41	7.33	8.37	7.70
Colorado	7.91	7.34	7.80	7.68
Connecticut	6.74	6.59	7.14	6.82
Delaware	7.04	6.73	7.37	7.05
District of Columbia	7.27	7.54	7.41	7.41
Florida	6.93	6.61	7.89	7.14
Georgia	7.49	7.84	8.57	7.97
Hawaii	6.94	6.87	7.50	7.10
Idaho	6.83	7.17	8.06	7.35
Illinois	7.26	6.84	7.64	7.25
Indiana	7.17	7.21	7.93	7.44
Iowa	6.74	6.80	8.07	7.20
Kansas	7.11	6.64	7.49	7.08
Kentucky	7.86	7.34	8.13	7.78
Louisiana	8.09	8.31	7.70	8.03
Maine	6.64	6.86	7.43	6.98
Maryland	7.57	6.94	7.39	7.30
Massachusetts	7.86	7.66	7.66	7.72
Michigan	7.04	7.59	7.10	7.24
Minnesota	6.96	7.23	7.83	7.34
Mississippi	7.24	7.09	7.97	7.43
Missouri	7.69	7.73	8.27	7.90
Montana	7.00	6.60	6.97	6.86
Nebraska	6.56	7.21	7.87	7.21
Nevada	7.24	7.00	7.84	7.36
New Hampshire	6.97	6.74	7.79	7.17
New Jersey	6.63	6.63	7.79	7.02
New Mexico	6.49	6.89	7.49	6.96
New York	7.40	7.54	7.76	7.57
North Carolina	7.23	7.21	8.11	7.52
North Dakota	6.96	7.19	7.80	7.32
Ohio	6.67	6.97	8.09	7.24
Oklahoma	6.81	7.00	7.61	7.14
Oregon	7.49	7.54	8.67	7.90
Pennsylvania	7.96	7.64	8.57	8.06
Rhode Island	7.20	7.40	7.33	7.31
South Carolina	7.43	7.67	7.66	7.59
South Dakota	6.29	6.51	7.34	6.71
Tennessee	6.80	7.34	8.64	7.59
Texas	7.93	7.63	8.59	8.05
Utah	6.70	7.57	8.04	7.44
Vermont	6.57	6.59	7.14	6.77
Virginia	6.84	7.11	8.23	7.39
Washington	6.59	6.64	7.49	6.91
West Virginia	7.16	6.91	7.34	7.14
Wisconsin	6.63	6.97	7.66	7.09
Wyoming	6.49	6.70	8.00	7.06
