Week	Date	Opponent	Result	Attendance
1	September 4, 1983	Miami Dolphins	L 12–0	78,715
2	September 11, 1983	at Cincinnati Bengals	W 10–6	46,839
3	September 18, 1983	Baltimore Colts	W 28–23	40,937
4	September 25, 1983	Houston Oilers	W 30–13	60,070
5	October 3, 1983	New York Jets	L 34–10	79,933
6	October 9, 1983	at Miami Dolphins	W 38–35	59,948
7	October 16, 1983	at Baltimore Colts	W 30–7	38,565
8	October 23, 1983	New England Patriots	L 31–0	60,424
9	October 30, 1983	New Orleans Saints	W 27–21	49,413
10	November 6, 1983	at New England Patriots	L 21–7	42,604
11	November 13, 1983	at New York Jets	W 24–17	48,513
12	November 20, 1983	Los Angeles Raiders	L 27–24	72,393
13	November 27, 1983	at Los Angeles Rams	L 41–17	48,246
14	December 4, 1983	at Kansas City Chiefs	W 14–9	27,104
15	December 11, 1983	San Francisco 49ers	L 23–10	38,039
16	December 18, 1983	at Atlanta Falcons	L 31–14	31,015
