Entrant	Constructor	Chassis	Engine	Driver	Rounds
AFM	AFM - Küchen	AFM	Küchen 2.0 V8	Hans Stuck	1
Toni Ulmen	Veritas	Meteor	Veritas 2.0 L6	Toni Ulmen	1, 6
Equipe Gordini	Gordini	16 16S 15	Gordini 20 2.0 L6 Gordini 1500 1.5 L4	Jean Behra	1, 3–4, 6–8
Equipe Gordini	Gordini	16 16S 15	Gordini 20 2.0 L6 Gordini 1500 1.5 L4	Robert Manzon	1, 3–8
Equipe Gordini	Gordini	16 16S 15	Gordini 20 2.0 L6 Gordini 1500 1.5 L4	B. Bira	1, 3–5
Equipe Gordini	Gordini	16 16S 15	Gordini 20 2.0 L6 Gordini 1500 1.5 L4	Johnny Claes	3
Equipe Gordini	Gordini	16 16S 15	Gordini 20 2.0 L6 Gordini 1500 1.5 L4	Maurice Trintignant	4–8
Ecurie Rosier	Ferrari	500	Ferrari 500 2.0 L4	Louis Rosier	1, 3–4, 8
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	George Abecassis	1
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Peter Collins	1, 3–6, 8
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Lance Macklin	1, 3–5, 7–8
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Stirling Moss	1
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Paul Frère	3, 6
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Roger Laurent	3
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Yves Giraud-Cabantous	4
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Duncan Hamilton	5, 7
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Johnny Claes	6
HW Motors	HWM - Alta	52 51/52	Alta F2 2.0 L4	Dries van der Lof	7
Scuderia Franera	Frazer-Nash - Bristol	FN48	Bristol BS1 2.0 L6	Ken Wharton	1, 3, 7–8
Ecurie Richmond	Cooper - Bristol	T20	Bristol BS1 2.0 L6	Eric Brandon	1, 3, 5, 8
Ecurie Richmond	Cooper - Bristol	T20	Bristol BS1 2.0 L6	Alan Brown	1, 3, 5, 8
Scuderia Ferrari	Ferrari	500 375S *	Ferrari 500 2.0 L4 Ferrari 375 4.5 V12 *	Giuseppe Farina	1, 3–8
Scuderia Ferrari	Ferrari	500 375S *	Ferrari 500 2.0 L4 Ferrari 375 4.5 V12 *	Piero Taruffi	1, 3–6, 8
Scuderia Ferrari	Ferrari	500 375S *	Ferrari 500 2.0 L4 Ferrari 375 4.5 V12 *	Andre Simon	1, 8
Scuderia Ferrari	Ferrari	500 375S *	Ferrari 500 2.0 L4 Ferrari 375 4.5 V12 *	Alberto Ascari	2–8
Scuderia Ferrari	Ferrari	500 375S *	Ferrari 500 2.0 L4 Ferrari 375 4.5 V12 *	Luigi Villoresi	7–8
Enrico Platé	Maserati - Platé	4CLT/48	Maserati Platé 2.0 L4	Toulo de Graffenried	1, 4–5, 8
Enrico Platé	Maserati - Platé	4CLT/48	Maserati Platé 2.0 L4	Harry Schell	1, 4–5
Enrico Platé	Maserati - Platé	4CLT/48	Maserati Platé 2.0 L4	Alberto Crespo	8
Ecurie Espadon	Ferrari	500 212	Ferrari 500 2.0 L4 Ferrari 125 1.5 V12	Rudi Fischer	1, 4–6, 8
Ecurie Espadon	Ferrari	500 212	Ferrari 500 2.0 L4 Ferrari 125 1.5 V12	Peter Hirt	1, 4–5
Ecurie Espadon	Ferrari	500 212	Ferrari 500 2.0 L4 Ferrari 125 1.5 V12	Rudolf Schoeller	6
Ecurie Espadon	Ferrari	500 212	Ferrari 500 2.0 L4 Ferrari 125 1.5 V12	Hans Stuck	8
Alfred Dattner	Simca-Gordini	11	Gordini 1500 1.5 L4	Max de Terra	1
Leslie D. Hawthorn	Cooper - Bristol	T20	Bristol BS1 2.0 L6	Mike Hawthorn	3, 5, 7–8
English Racing Automobiles Ltd	ERA - Bristol	G	Bristol BS1 2.0 L6	Stirling Moss	3, 5, 7
Ecurie Francorchamps	Ferrari	500	Ferrari 500 2.0 L4	Charles de Tornaco	3, 7–8
Ecurie Francorchamps	Ferrari	500	Ferrari 500 2.0 L4	Roger Laurent	6
Arthur Legat	Veritas	Meteor	Veritas 2.0 L6	Arthur Legat	3
Robin Montgomerie-Charrington	Aston-Butterworth	NB41	Butterworth 2.0 F4	Robin Montgomerie-Charrington	3
Tony Gaze	HWM - Alta	52	Alta F2 2.0 L4	Tony Gaze	3, 5–6, 8
Robert O' Brien	Simca-Gordini	15	Gordini 1500 1.5 L4	Robert O' Brien	3
Peter Whitehead	Alta Ferrari	F2 125/F2	Alta F2 2.0 L4 Ferrari 125 1.5 V12	Peter Whitehead	4–5, 8
Peter Whitehead	Alta Ferrari	F2 125/F2	Alta F2 2.0 L4 Ferrari 125 1.5 V12	Graham Whitehead	5
Escuderia Bandeirantes	Maserati	A6GCM	Maserati A6 2.0 L6	Philippe Étancelin	4
Escuderia Bandeirantes	Maserati	A6GCM	Maserati A6 2.0 L6	Gino Bianco	5–8
Escuderia Bandeirantes	Maserati	A6GCM	Maserati A6 2.0 L6	Eitel Cantoni	5–6, 8
Escuderia Bandeirantes	Maserati	A6GCM	Maserati A6 2.0 L6	Chico Landi	7–8
Escuderia Bandeirantes	Maserati	A6GCM	Maserati A6 2.0 L6	Jan Flinterman	7
Ecurie Belge	Simca-Gordini	15	Gordini 1500 1.5 L4	Johnny Claes	4–5
Ecurie Belge	Simca-Gordini	15	Gordini 1500 1.5 L4	Paul Frère	7
Scuderia Marzotto	Ferrari	166/F2	Ferrari 125 1.5 V12	Franco Comotti	4
Scuderia Marzotto	Ferrari	166/F2	Ferrari 125 1.5 V12	Piero Carini	4, 6
Archie Bryde AHM Bryde	Cooper - Bristol	T20	Bristol BS1 2.0 L6	Mike Hawthorn	4
Archie Bryde AHM Bryde	Cooper - Bristol	T20	Bristol BS1 2.0 L6	Reg Parnell	5
W.S. Aston	Aston-Butterworth	NB41	Butterworth 2.0 F4	Bill Aston	5–6, 8
Connaught Engineering	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Kenneth McAlpine	5, 8
Connaught Engineering	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Ken Downing	5
Connaught Engineering	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Eric Thompson	5
Connaught Engineering	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Dennis Poore	5, 8
Connaught Engineering	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Stirling Moss	8
Ecurie Ecosse	Cooper - Bristol	T20	Bristol BS1 2.0 L6	David Murray	5
G. Caprara	Ferrari	500	Ferrari 500 2.0 L4	Roy Salvadori	5
Tony Crook	Frazer-Nash - BMW	421	BMW 328 2.0 L6	Tony Crook	5
Marcel Balsa	Balsa - BMW	Eigenbau	BMW 328 2.0 L6	Marcel Balsa	6
Fritz Riess	Veritas	RS	Veritas 2.0 L6	Fritz Riess	6
Theo Helfrich	Veritas	RS	Veritas 2.0 L6	Theo Helfrich	6
Willi Heeks	AFM - BMW	8	BMW 328 2.0 L6	Willi Heeks	6
Helmut Niedermayr	AFM - BMW	6	BMW 328 2.0 L6	Helmut Niedermayr	6
Adolf Brudes	Veritas	RS	Veritas 2.0 L6	Adolf Brudes	6
Motor Presse Verlag	Veritas	Meteor	Veritas 2.0 L6	Paul Pietsch	6
Hans Klenk	Veritas	Meteor	Veritas 2.0 L6	Hans Klenk	6
Josef Peters	Veritas	RS	Veritas 2.0 L6	Josef Peters	6
Bernhard Nacke	Nacke - BMW	Eigenbau	BMW 328 2.0 L6	Günther Bechem	6
Ludwig Fischer	AFM - BMW	8	BMW 328 2.0 L6	Ludwig Fischer	6
Willi Krakau	AFM - BMW	6	BMW 328 2.0 L6	Willi Krakau	6
Willi Krakau	Krakau - BMW	Eigenbau	BMW 328 2.0 L6	Harry Merkel	6
Ernst Klodwig	Heck - BMW	Eigenbau	BMW 328 2.0 L6	Ernst Klodwig	6
Rudolf Krause	Greifzu - BMW	Eigenbau	BMW 328 2.0 L6	Rudolf Krause	6
Ken Downing	Connaught - Lea Francis	A	Lea Francis 2.0 L4	Ken Downing	7
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	Felice Bonetto	8
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	Franco Rol	8
Officine Alfieri Maserati	Maserati	A6GCM	Maserati A6 2.0 L6	José Froilán González	8
Élie Bayol	OSCA	20	OSCA 2000 2.0 L6	Élie Bayol	8
Piero Dusio	Cisitalia - BPM	D46	BPM 2.0 L4	Piero Dusio	8
Vicomtesse de Walckiers	Simca-Gordini	15	Gordini 1500 1.5 L4	Johnny Claes	8
