Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
3	November 1	Portland	W 107–96 (OT)	Amar'e Stoudemire (23)	Amar'e Stoudemire (13)	Steve Nash (7)	US Airways Center 18,422	2–1
4	November 4	@ New Jersey	W 114–86 (OT)	Raja Bell (22)	Matt Barnes (7)	Steve Nash (11)	Izod Center 15,230	3–1
5	November 5	@ Indiana	W 113–103 (OT)	Amar'e Stoudemire (49)	Amar'e Stoudemire (11)	Amar'e Stoudemire , Steve Nash (6)	Conseco Fieldhouse 11,660	4–1
6	November 7	@ Chicago	L 83–100 (OT)	Amar'e Stoudemire (26)	Robin Lopez , Amar'e Stoudemire (7)	Steve Nash (5)	United Center 21,967	4–2
7	November 8	@ Milwaukee	W 104–96 (OT)	Shaquille O'Neal (29)	Shaquille O'Neal , Grant Hill (11)	Steve Nash (7)	Bradley Center 17,935	5–2
8	November 10	Memphis	W 107–102 (OT)	Leandro Barbosa (27)	Matt Barnes (8)	Steve Nash (6)	US Airways Center 18,422	6–2
9	November 12	Houston	L 82–94 (OT)	Leandro Barbosa , Shaquille O'Neal (18)	Shaquille O'Neal (13)	Shaquille O'Neal , Steve Nash (3)	US Airways Center 18,422	6–3
10	November 14	@ Sacramento	W 97–95 (OT)	Shaquille O'Neal (29)	Shaquille O'Neal (13)	Shaquille O'Neal (6)	ARCO Arena 12,810	7–3
11	November 16	Detroit	W 104–86 (OT)	Amar'e Stoudemire (29)	Amar'e Stoudemire (11)	Steve Nash (7)	US Airways Center 18,422	8–3
12	November 17	@ Utah	L 97–109 (OT)	Amar'e Stoudemire (30)	Amar'e Stoudemire (8)	Steve Nash (8)	EnergySolutions Arena 19,911	8–4
13	November 20	L.A. Lakers	L 92–105 (OT)	Amar'e Stoudemire (21)	Shaquille O'Neal (9)	Steve Nash (10)	US Airways Center 18,422	8–5
14	November 22	Portland	W 102–92 (OT)	Shaquille O'Neal (19)	Shaquille O'Neal (17)	Steve Nash (7)	US Airways Center 18,422	9–5
15	November 25	@ Oklahoma City	W 99–98 (OT)	Amar'e Stoudemire (22)	Steve Nash (8)	Steve Nash (15)	Ford Center 19,136	10–5
16	November 26	@ Minnesota	W 110–102 (OT)	Steve Nash (20)	Shaquille O'Neal (10)	Steve Nash (6)	Target Center 11,708	11–5
17	November 28	Miami	L 92–107 (OT)	Leandro Barbosa (20)	Shaquille O'Neal (9)	Leandro Barbosa (5)	US Airways Center 18,422	11–6
18	November 30	New Jersey	L 109–117 (OT)	Steve Nash (26)	Amar'e Stoudemire (12)	Steve Nash (9)	US Airways Center 18,422	11–7
