Rank	Census-designated place	Metropolitan area	State	Population (2000 census)	Land area (mi 2 )	Population density (people per mi 2 )
1	Friendship Village	Washington, D.C.	Maryland	4512	0.06	81991.7
7	Buena Vista	San Francisco	California	1704	0.07	24099.1
11	Bellerose Terrace	New York City	New York	2157	0.10	22212.2
12	Walnut Park	Los Angeles	California	16180	0.74	21919.0
15	Lennox	Los Angeles	California	22950	1.08	21257.5
20	Langley Park	Washington, D.C.	Maryland	16214	0.82	19678.8
24	East Compton	Los Angeles	California	9286	0.52	17945.9
29	Westmont	Los Angeles	California	31623	1.85	17103.0
31	Florence-Graham	Los Angeles	California	60197	3.58	16799.7
32	East Los Angeles	Los Angeles	California	124283	7.44	16697.4
41	Loch Lomond	Miami	Florida	3537	0.23	15711.2
44	Ewa Gentry	Honolulu	Hawaii	4939	0.32	15627.7
50	Ramblewood East	Miami	Florida	1395	0.09	14932.7
56	Rollingwood	San Francisco	California	2900	0.21	14036.3
60	South San Jose Hills	Los Angeles	California	20218	1.46	13876.4
63	Franklin Park	Miami	Florida	943	0.07	13817.5
66	Fountainbleau	Miami	Florida	59549	4.40	13524.7
68	North Fair Oaks	San Francisco	California	15440	1.17	13221.9
74	West Puente Valley	Los Angeles	California	22589	1.75	12908.0
75	Waipahu	Honolulu	Hawaii	33108	2.57	12882.8
78	Seven Corners	Washington, D.C.	Virginia	8701	0.68	12773.2
91	Alum Rock	San Francisco	California	13479	1.12	12044.7
96	Ocean Grove	New York City	New Jersey	4256	0.36	11956.5
98	Cherryland	San Francisco	California	13837	1.17	11859.2
102	Citrus	Los Angeles	California	10581	0.90	11784.8
105	Burbank	San Francisco	California	5239	0.45	11748.6
117	Ashland	San Francisco	California	20793	1.84	11284.9
119	Bailey's Crossroads	Washington, D.C.	Virginia	23166	2.05	11276.0
123	Kendall West	Miami	Florida	38034	3.39	11218.6
136	Valinda	Los Angeles	California	21776	2.01	10830.8
139	Huntington	Washington, D.C.	Virginia	8325	0.78	10665.6
144	Village Park	Honolulu	Hawaii	9625	0.92	10490.0
149	Ewa Beach	Honolulu	Hawaii	14650	1.42	10341.4
151	South Whittier	Los Angeles	California	55193	5.38	10257.7
156	Franklin Square	New York City	New York	29342	2.89	10169.2
