Place	Player	Country	Score	To par	Money ( $ )
1	Retief Goosen	South Africa	70-66-69-71=276	–4	1,125,000
2	Phil Mickelson	United States	68-66-73-71=278	–2	675,000
3	Jeff Maggert	United States	68-67-74-72=281	+1	424,604
T4	Shigeki Maruyama	Japan	66-68-74-76=284	+4	267,756
T4	Mike Weir	Canada	69-70-71-74=284	+4	267,756
6	Fred Funk	United States	70-66-72-77=285	+5	212,444
T7	Robert Allenby	Australia	70-72-74-70=286	+6	183,828
T7	Steve Flesch	United States	68-74-70-74=286	+6	183,828
T9	Stephen Ames	Canada	74-66-73-74=287	+7	145,282
T9	Chris DiMarco	United States	71-71-70-75=287	+7	145,282
T9	Ernie Els	South Africa	70-67-70-80=287	+7	145,282
T9	Jay Haas	United States	66-74-76-71=287	+7	145,282
