Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
1	November 3	Houston	W 95–88 (OT)	Chris Bosh (20)	Rafer Alston , Chris Bosh , Loren Woods (7)	Rafer Alston (8)	Air Canada Centre 19,800	1–0
2	November 5	Detroit	W 101–89 (OT)	Chris Bosh (18)	Loren Woods (14)	Vince Carter (5)	Air Canada Centre 15,284	2–0
3	November 7	Portland	W 101–97 (OT)	Vince Carter (25)	Donyell Marshall (9)	Rafer Alston (8)	Air Canada Centre 13,863	3–0
4	November 9	@ Sacramento	L 92–108 (OT)	Rafer Alston , Jalen Rose (15)	Loren Woods (11)	Milt Palacio (5)	ARCO Arena 17,317	3–1
5	November 10	@ Utah	W 104–95 (OT)	Chris Bosh (20)	Loren Woods (9)	Vince Carter (5)	Delta Center 19,683	4–1
6	November 12	@ Seattle	L 87–88 (OT)	Chris Bosh (19)	Chris Bosh (9)	Rafer Alston (11)	KeyArena 15,702	4–2
7	November 13	@ Portland	L 102–105 (OT)	Rafer Alston (27)	Chris Bosh (8)	Rafer Alston (7)	Rose Garden 16,362	4–3
8	November 16	@ L.A. Clippers	L 89–101 (OT)	Vince Carter (21)	Chris Bosh (7)	Rafer Alston (5)	Staples Center 14,985	4–4
9	November 17	@ Denver	L 106–112 (OT)	Jalen Rose (30)	Jerome Moiso (11)	Rafer Alston (6)	Pepsi Center 14,818	4–5
10	November 19	Seattle	L 94–101 (OT)	Vince Carter (21)	Chris Bosh , Matt Bonner (7)	Rafer Alston (7)	Air Canada Centre 16,886	4–6
11	November 21	San Antonio	W 96–91 (OT)	Rafer Alston , Chris Bosh (20)	Chris Bosh (10)	Rafer Alston (11)	Air Canada Centre 17,264	5–6
12	November 23	@ Washington	L 86–102 (OT)	Vince Carter (25)	Chris Bosh , Loren Woods (10)	Rafer Alston (13)	MCI Center 14,541	5–7
13	November 24	New York	W 114–91 (OT)	Vince Carter (22)	Loren Woods (10)	Milt Palacio (7)	Air Canada Centre 18,192	6–7
14	November 27	@ New York	L 102–108 (OT)	Vince Carter (19)	Loren Woods (10)	Milt Palacio (8)	Madison Square Garden 19,763	6–8
15	November 28	Washington	L 109–114 (OT)	Jalen Rose (29)	Donyell Marshall , Loren Woods (7)	Rafer Alston (8)	Air Canada Centre 16,121	6–9
16	November 30	@ Miami	W 94–92 (OT)	Jalen Rose (24)	Chris Bosh (10)	Rafer Alston , Vince Carter (4)	American Airlines Arena 18,993	7–9
