Rider	Manufacturer	Laps	Time/Retired	Grid
Tohru Ukawa	Honda	28	44:39.467	3
Valentino Rossi	Honda	28	+0.932	1
Loris Capirossi	Honda	28	+8.259	2
Daijiro Kato	Honda	28	+26.962	14
Carlos Checa	Yamaha	28	+27.227	7
Olivier Jacque	Yamaha	28	+27.889	9
Norifumi Abe	Yamaha	28	+30.215	15
Shinya Nakano	Yamaha	28	+30.781	8
Max Biaggi	Yamaha	28	+43.796	4
Garry McCoy	Yamaha	28	+45.501	5
Jurgen vd Goorbergh	Honda	28	+1:06.938	12
Tetsuya Harada	Honda	28	+1:19.560	19
Pere Riba	Yamaha	28	+1:19.857	20
John Hopkins	Yamaha	28	+1:31.519	17
Régis Laconi	Aprilia	28	+1:32.725	18
Sete Gibernau	Suzuki	27	+1 lap	10
Alex Barros	Honda	26	Accident	13
Kenny Roberts, Jr.	Suzuki	9	Retirement	6
Nobuatsu Aoki	Proton KR	7	Accident	11
Jeremy McWilliams	Proton KR	5	Retirement	16
