Settlement	Cyrillic Name Other Names	Type	Population (2011)	Largest ethnic group (2002)	Dominant religion (2002)
Sečanj	Сечањ	village	2,107	Serbs	Orthodox Christianity
Jaša Tomić	Јаша Томић	town	2,373	Serbs	Orthodox Christianity
Banatska Dubica	Банатска Дубица	village	324	Serbs	Orthodox Christianity
Boka	Бока	village	1,412	Serbs	Orthodox Christianity
Busenje	Бусење (Hungarian: Káptalanfalva)	village	63	Hungarians	Catholic Christianity
Jarkovac	Јарковац	village	1.505	Serbs	Orthodox Christianity
Konak	Конак	village	777	Serbs	Catholic Christianity
Krajišnik	Крајишник	village	1,719	Serbs	Orthodox Christianity
Neuzina	Неузина	village	1,256	Serbs	Orthodox Christianity
Sutjeska	Сутјеска	village	1,478	Serbs	Orthodox Christianity
