Name	Years	Gender	Area	Authority	Decile	Roll
Birdwood School	1–8	Coed	Ranui	State	1	218
Bruce McLaren Intermediate	7–8	Coed	McLaren Park	State	3	244
Colwill School	1–8	Coed	Massey East	State	3	212
Don Buck School	1–8	Coed	Massey West	State	3	215
Edmonton School	1–6	Coed	Te Atatu South	State	4	234
Flanshaw Road School	1–6	Coed	Te Atatu South	State	5	394
Freyberg Community School	1–6	Coed	Te Atatu South	State	6	351
Glendene School	1–6	Coed	Glendene	State	3	163
Henderson Intermediate	7–8	Coed	Henderson	State	3	540
Henderson North School	1–6	Coed	Henderson North	State	3	426
Henderson School	1–6	Coed	Henderson	State	3	203
Henderson South School	1–6	Coed	Henderson	State	2	284
Holy Cross Catholic School	1–8	Coed	Henderson	State integrated	4	408
Lincoln Heights School	1–8	Coed	Massey West	State	3	453
Massey Primary School	1–8	Coed	Massey West	State	4	425
Matipo Road School	1–6	Coed	Te Atatu Peninsula	State	6	481
Peninsula Primary School	1–6	Coed	Te Atatu Peninsula	State	5	378
Pomaria Road School	1–6	Coed	Lincoln	State	2	467
Rangeview Intermediate	7–8	Coed	Te Atatu South	State	5	772
Ranui School	1–6	Coed	Ranui	State	2	367
Royal Road School	1–8	Coed	Massey North	State	2	280
Rutherford School	1–6	Coed	Te Atatu Peninsula	State	5	227
St Paul's School	1–6	Coed	Massey North	State integrated	5	405
Summerland Primary	1–6	Coed	Western Heights	State	7	602
Sunnyvale School	1–6	Coed	Sunnyvale	State	4	396
Te Atatu Intermediate	7–8	Coed	Te Atatu Peninsula	State	5	290
Tirimoana School	1–6	Coed	Glendene	State	6	643
TKKM o Te Kotuku	1–8	Coed	Te Atatu Peninsula	State	3	58
Waitakere Seventh-day Adventist School	1–8	Coed	McLaren Park	State integrated	5	40
West Harbour School	1–8	Coed	West Harbour	State	3	353
Western Heights School	1–6	Coed	Western Heights	State	7	604
