Series #	Season #	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
28	1	"Hang on to Yourself"	Allan Kroeker	Matt Corman & Chris Ord	July10,2012	CA301	3.50
29	2	"Sound and Vision"	Stephen Kay	Stephen Hootstein	July17,2012	CA302	3.22
30	3	"The Last Thing You Should Do"	Félix Alcalá	Norman Morrill	July24,2012	CA303	3.74
31	4	"Speed of Life"	Michael Smith	Erica Shelton	July31,2012	CA304	2.58
32	5	"This Is Not America"	Allan Kroeker	Julia Ruchman	August14,2012	CA305	3.25
33	6	"Hello Stranger"	Elodie Keene	Steve Harper	August21,2012	CA306	3.51
34	7	"Loving the Alien"	J. Miller Tobin	Alex Berger	August28,2012	CA307	3.23
35	8	"Glass Spider"	Stephen Kay	Zak Schwartz	September4,2012	CA308	3.44
36	9	"Suffragette City"	Félix Alcalá	Tamara Becher	September11,2012	CA309	3.94
37	10	"Let's Dance"	Andrew Bernstein	Matt Corman & Chris Ord	September18,2012	CA310	3.47
38	11	"Rock 'n' Roll Suicide"	Stephen Kay	Stephen Hootstein	October16,2012	CA311	2.76
39	12	"Wishful Beginnings"	Tawnia McKiernan	Julia Ruchman	October23,2012	CA312	2.75
40	13	"Man in the Middle"	Christopher Gorham	Alex Berger	October30,2012	CA313	2.35
41	14	"Scary Monsters (and Super Creeps)"	Emile Levisetti	Tamara Becher	November6,2012	CA314	2.28
42	15	"Quicksand"	Jamie Barber	Zak Schwartz	November13,2012	CA315	2.45
