No. in series	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
1	" Pilot "	Julie Anne Robinson	DeAnn Heline & Eileen Heisler	September30,2009	276047	8.71
2	" The Cheerleader "	Lee Shallat Chemel	DeAnn Heline & Eileen Heisler	October7,2009	3X5701	6.79
3	" The Floating Anniversary "	Gail Mancuso	Rob Ulin	October14,2009	3X5703	6.77
4	" The Trip "	Lee Shallat Chemel	Jana Hunter & Mitch Hunter	October21,2009	3X5704	6.53
5	" The Block Party "	Ken Whittingham	Alex Reid	October28,2009	3X5702	6.49
6	" The Front Door "	Michael Spiller	Russ Woody	November4,2009	3X5705	6.04
7	" The Scratch "	Wendey Stanzler , Alex Reid	DeAnn Heline & Eileen Heisler	November18,2009	3X5707	7.06
8	" Thanksgiving "	Michael Spiller	Vijal Patel	November25,2009	3X5706	6.00
9	" Siblings "	Barnet Kellman	Rob Ulin	December2,2009	3X5709	6.19
10	" Christmas "	Reginald Hudlin	Roy Brown	December9,2009	3X5708	7.69
11	" The Jeans "	Jamie Babbit	Jana Hunter & Mitch Hunter	January6,2010	3X5710	7.55
12	" The Neighbor "	Lee Shallat Chemel	Jana Hunter & Mitch Hunter	January6,2010	3X5712	8.17
13	" The Interview "	Ken Whittingham	Vijal Patel	January13,2010	3X5711	5.95
14	" The Yelling "	Elliot Hegarty	Rob Ulin	February3,2010	3X5713	7.32
15	" Valentine's Day "	Chris Koch	Bruce Rasmussen	February10,2010	3X5714	7.83
16	" The Bee "	Ken Whittingham	Eileen Heisler & DeAnn Heline	March3,2010	3X5717	6.02
17	"The Break-Up"	Wendey Stanzler	Vijal Patel	March10,2010	3X5715	6.32
18	"The Fun House"	Chris Koch	Roy Brown	March24,2010	3X5716	7.16
19	"The Final Four"	Alex Reid	Rob Ulin	March31,2010	3X5719	6.23
20	"TV or Not TV"	Lee Shallat Chemel	Vijal Patel	April14,2010	3X5718	6.70
21	"Worry Duty"	Lee Shallat Chemel	Bruce Rasmussen	April28,2010	3X5720	7.10
22	"Mother's Day"	Barnet Kellman	Mitch Hunter & Jana Hunter	May5,2010	3X5721	6.75
23	"Signals"	Jamie Babbit	DeAnn Heline & Eileen Heisler	May12,2010	3X5722	7.49
