Year	Date	Driver	Team	Manufacturer	Laps	Miles (km)	Race Time	Average Speed (mph)	Report
2001	July 15	Kevin Harvick	Richard Childress Racing	Chevrolet	267	400.5 (644.542)	3:18:16	121.200	Report
2002	July14	Kevin Harvick	Richard Childress Racing	Chevrolet	267	400.5 (644.542)	2:55:37	136.832	Report
2003	July 13	Ryan Newman	Penske Racing	Dodge	267	400.5 (644.542)	2:59:15	134.590	Report
2004	July 11	Tony Stewart	Joe Gibbs Racing	Chevrolet	267	400.5 (644.542)	3:05:33	129.507	Report
2005	July 10	Dale Earnhardt, Jr.	Dale Earnhardt, Inc.	Chevrolet	267	400.5 (644.542)	3:08:16	127.638	Report
2006	July 9	Jeff Gordon	Hendrick Motorsports	Chevrolet	270*	405 (651.784)	3:03:59	132.077	Report
2007	July 15	Tony Stewart	Joe Gibbs Racing	Chevrolet	267	400.5 (644.542)	2:58:59	134.258	Report
2008	July 12	Kyle Busch	Joe Gibbs Racing	Toyota	267	400.5 (644.542)	2:59:20	133.936	Report
2009	July 11	Mark Martin	Hendrick Motorsports	Chevrolet	267	400.5 (644.542)	2:59:39	133.804	Report
2010	July 10	David Reutimann	Michael Waltrip Racing	Toyota	267	400.5 (644.542)	2:45:34	145.138	Report
2011	Sept 19*	Tony Stewart	Stewart-Haas Racing	Chevrolet	267	400.5 (644.542)	2:47:41	143.306	Report
2012	Sept 16	Brad Keselowski	Penske Racing	Dodge	267	400.5 (644.542)	2:47:37	143.363	Report
