Locale	Skip	W	L	PF	PA	Ends Won	Ends Lost	Blank Ends	Stolen Ends	Shot Pct.
Newfoundland and Labrador	Brad Gushue	9	2	78	51	47	37	15	13	85
Manitoba	Jeff Stoughton	9	2	83	41	40	36	18	7	88
Alberta	Kevin Martin	9	2	75	52	47	33	11	15	84
Ontario	Glenn Howard	8	3	82	39	43	29	21	13	85
Northern Ontario	Brad Jacobs	7	4	68	59	47	38	18	9	84
Nova Scotia	Shawn Adams	5	6	71	72	44	42	9	9	82
British Columbia	Jim Cotter	4	7	58	68	41	47	11	7	77
Saskatchewan	Steve Laycock	4	7	59	76	46	48	11	9	77
New Brunswick	James Grattan	4	7	59	70	43	46	19	6	80
Quebec	François Gagné	3	8	74	78	43	49	10	6	78
Northwest Territories / Yukon	Jamie Koe	3	8	55	88	38	53	6	5	75
