Draft	Round	Pick	Nationality	Position	School/Club Team
2004-1 2004	1	2	United States	PF/C	Connecticut
2004-2 2004	2	45	United States	PF	Michigan
2005-1 2005	1	5	United States	PG	North Carolina
2005-2 2005	1	13	United States	PF	North Carolina
2006-1 2006	1	3	United States	SF	Gonzaga
2006-2 2006	2	50	United States	C	UCLA
2007-1 2007	1	8	United States	SF	North Carolina
2007-2 2007	1	22	United States	SF	Boston College
2008-1 2008	1	9	United States	PG	Texas
2008-2 2008	1	20	France	C	Hyères-Toulon ( France )
2008-3 2008	2	38	United States	PG	Washington State
2009-1 2009	1	12	United States	SG	Duke
2009-2 2009	2	40	United States	PF	Xavier
2009-3 2009	2	54	United States	SG	UAB
2011-1 2011	1	9	United States	PG	Connecticut
2011-2 2011	1	19	United States	SF	Tennessee
2011-3 2011	2	39	United States	C	Tokyo Apache ( Japan )
2012-1 2012	1	2	United States	SF	Kentucky
2012-2 2012	2	31	Sweden / United States	SF	Vanderbilt
2013-1 2013	1	4	United States	PF/C	Indiana
