Place	Name	From	Until	Titles	Seconds	Thirds
1.	Steffi Hanzlik-Jacob	1997	2004	5	3	–
2.	Kerstin Jürgens-Szymkowiak	2003	2011	3	4	–
3.	Diana Sartor	1996	2005	3	1	2
4.	Anja Huber	2006	2008	3	1	–
5.	Monique Riekewald	1996	2005	1	2	4
6.	Katharina Heinz	2009	2010	1	1	–
7.	Kathleen Lorenz	2010	2010	1	–	–
8.	Ramona Rahnis	1996	1998	–	2	1
9.	Marion Trott-Thees	2009	2011	–	2	1
10.	Julia Eichhorn	2007	2009	–	–	2
10.	Sophia Griebel	2010	2011	–	–	2
10.	Annett Köhler	2001	2002	–	–	2
13.	Kati Klinzing	2006	2006	–	–	1
13.	Melanie Riedl	2000	2000	–	–	1
