Name	Short name	City	Region	Girone	Home venue
S.S.D. Acireale Calcio 1946	Acireale	Acireale	Sicily	I	Tupparello
F.C. AlzanoCene 1909	AlzanoCene	Alzano Lombardo , Cene	Lombardy	B	Carillo Pesenti Pigna ( Alzano Lombardo )
S.P.D. Amiternina	Amiternina	Scoppito	Abruzzo	F	Dorico
U.S. Ancona 1905	Ancona	Ancona	Marche	F	Dorico
A.S.D. Anziolavinio	Anziolavinio	Anzio	Lazio	G	Massimo Bruschini
A.S.D. Atletico Arezzo	Arezzo	Arezzo	Tuscany	E	Città di Arezzo
Pol. Arzachena	Arzachena	Arzachena	Sardinia	G	Biagio Pirina
A.C.D. Asti	Asti	Asti	Piedmont	A	Censin Bosia
A.S.D. Astrea	Astrea	Rome	Lazio	F	Casal del Marmo
A.S.D. Atletico BettolaPonte Pro Piacenza	Atletico Pro Piacenza	Piacenza	Emilia-Romagna	D	G. Siboni
F.C. Atletico Montichiari	Atletico Montichiari	Montichiari	Lombardy	B	Romeo Menti
Aurora Seriate Calcio	Aurora Seriate	Seriate	Lombardy	B	Comunale
G.S. Bagnolese	Bagnolese	Bagnolo in Piano	Emilia-Romagna	D	Fratelli Campari
A.C. Bastia 1924	Bastia	Bastia Umbra	Umbria	E	Comunale
A.S.D. Battipagliese	Battipagliese	Battipaglia	Campania	H	Luigi Pastena
A.C. Belluno 1905	Belluno	Belluno	Veneto	C	Polisportivo
G.S.D. Bogliasco D'Albertis	Bogliasco	Bogliasco	Liguria	A	Eugenio Broccardi ( Santa Margherita Ligure )
Borgosesia Calcio	Borgosesia	Borgosesia	Piedmont	A	Comunale
A.S.D. Bra	Bra	Bra	Piedmont	A	Madonna dei Fiori
S.S.D. Città di Brindisi	Brindisi	Brindisi	Apulia	H	Franco Fanuzzi
Budoni Calcio	Budoni	Budoni	Sardinia	G	Comunale
Camaiore Calcio	Camaiore	Camaiore	Tuscany	D	Comunale
A.S.D. CTL Campania Piscinola	Campania	Piscinola	Campania	H	Dietro la Vigna
U.S.D. Caravaggio	Caravaggio	Caravaggio	Lombardy	B	Comunale
S.C. Caronnese	Caronnese	Caronno Pertusella	Lombardy	B	Comunale
A.S.D. Casacastalda	Casacastalda	Valfabbrica	Umbria	E	Comunale
Casertana F.C.	Casertana	Caserta	Campania	G	Alberto Pinto
A.C. Castellana	Castellana	Castel Goffredo	Lombardy	B	Comunale
A.S. Castel Rigone	Castel Rigone	Passignano sul Trasimeno	Umbria	E	San Bartolomeo
A.S.D. Atletico Castenaso Van Goof	Castenaso	Castenaso	Emilia-Romagna	D	Comunale
Celano F.C. Marsica	Celano	Celano	Abruzzo	G	Fabio Piccone
A.S.D. Cerea Calcio 1912	Cerea	Cerea	Veneto	C	Comunale
S.S.D. Città di Messina	Città di Messina	Messina	Sicily	H	Giovanni Celeste
Città di Potenza S.S.	Città di Potenza	Potenza	Basilicata	H	Stadio Alfredo Viviani
A.S.D. Chiavari Calcio Caperana	Chiavari Caperana	Chiavari	Liguria	A	Angelo Daneri
A.S.D.C. Chieri 1955	Chieri	Chieri	Piedmont	A	Piero De Paoli
Civitanovese Calcio	Civitanovese	Civitanova Marche	Marche	F	Comunale
A.S.D. Civitavecchia 1920	Civitavecchia	Civitavecchia	Lazio	G	Giovanni Maria Fattori
A.S.D. Clodiense	Clodiense	Chioggia	Veneto	C	Aldo e Dino Ballarin
Comprensorio Normanno	Comprensorio Normanno	Paternò	Sicily	I	Falcone-Borsellino
Nuova Cosenza Calcio	Cosenza	Cosenza	Calabria	I	San Vito
A.S.D. Cynthia 1920	Cynthia	Genzano di Roma	Lazio	G	Comunale
U.S. Darfo Boario S.S.D.	Darfo Boario	Darfo Boario Terme	Lombardy	B	Comunale
U.S.D. Calcio Delta Porto Tolle	Delta Porto Tolle	Porto Tolle	Veneto	C	Comunale
Derthona F.B.C. 1908	Derthona	Tortona	Piedmont	A	Fausto Coppi
A.S. Deruta	Deruta	Deruta	Umbria	E	Comunale
A.C. Este	Este	Este	Veneto	C	Nuovo Comunale
A.S.D. Fersina Perginese	Fersina Perginese	Pergine Valsugana	Trentino-Alto Adige/Südtirol	B	Comunale
F.C. Fidene	Fidene	Rome	Lazio	F	Walter Cervini
A.C. Fidenza 1922	Fidenza	Fidenza	Emilia-Romagna	D	Dario Ballotta
U.S.D. FiesoleCaldine	FiesoleCaldine	Fiesole	Tuscany	E	Poggioloni
A.S.D. Flaminia Civita Castellana	Flaminia Civita Castellana	Civita Castellana	Lazio	E	Turrido Madani
A.C.D. Foggia Calcio	Foggia	Foggia	Apulia	H	Pino Zaccheria
U.S. Folgore Caratese A.S.D.	Folgore Caratese	Carate Brianza	Lombardy	A	XXV Aprile
U.S. Forcoli Calcio 1921	Forcoli	Palaia	Tuscany	D	Guido Brunner
A.C. Formigine A.S.D.	Formigine	Formigine	Emilia-Romagna	D	Pincelli
A.S.D. Fortis Juventus 1909	Fortis Juventus	Borgo San Lorenzo	Tuscany	D	Romanelli
A.S. Fortis Trani	Fortis Trani	Trani	Apulia	H	Comunale
F.C. Francavilla	Francavilla	Francavilla in Sinni	Basilicata	H	Nunzio Fittipaldi
Gelbison Cilento S.S.D.	Gelbison Cilento	Vallo della Lucania	Campania	I	G. Morra
A.S.D. Giorgione Calcio 2000	Giorgione	Castelfranco Veneto	Veneto	C	Comunale
A.S.D.C. Gozzano	Gozzano	Gozzano	Piedmont	A	Comunale
A.D.C. Ars et Labor Grottaglie	Grottaglie	Grottaglie	Apulia	H	D'Amuri
A.S.D. S.F. Gladiator	Gladiator	Santa Maria Capua Vetere	Campania	H	Mario Piccirillo
A.S.D. Imperia	Imperia	Imperia	Liguria	A	Nino Ciccione
A.S.D. Ischia Isolaverde	Ischia	Ischia	Campania	H	Vincenzo Mazzella
Isernia F.C.	Isernia	Isernia	Molise	F	Mario Lancellotta
A.C. Isola Liri	Isola Liri	Isola del Liri	Lazio	G	Conte Arduino Mangoni
Jesina Calcio	Jesina	Jesi	Marche	F	Pacifico Carotti
N.K. Kras A.S.D.	Kras	Monrupino	Friuli-Venezia Giulia	C	Repen
A.S.D. Lanciotto Campi Bisenzio	Lanciotto	Campi Bisenzio	Tuscany	E	Comunale
U.S.D. Lavagnese 1919	Lavagnese	Lavagna	Liguria	A	Edoardo Riboli
Calcio Lecco 1912	Lecco	Lecco	Lombardy	B	Rigamonti-Ceppi
F.C. Legnago Salus S.S.D.	Legnago Salus	Legnago	Veneto	C	Mario Sandrini
A.S.D. Licata 1931	Licata	Licata	Sicily	I	Dino Liotta
F.C. Lucchese 1905	Lucchese	Lucca	Tuscany	D	Porta Elisa
A.S.D. Lupa Frascati	Lupa Frascati	Frascati	Lazio	G	VIII settembre
S.S. Maceratese 1922	Maceratese	Macerata	Marche	F	Helvia Recina
A.S.D. MapelloBonate Calcio	MapelloBonate	Mapello , Bonate Sopra	Lombardy	B	Comunale ( Mapello )
A.S.D. Città di Marino	Marino	Marino	Lazio	F	Comunale
S.S.D. Massese	Massese	Massa	Tuscany	D	degli Oliveti
A.S.D. Matera Calcio	Matera	Matera	Basilicata	H	XXI Settembre-Franco Salerno
A.C.R. Messina	Messina	Messina	Sicily	I	San Filippo
A.C. Mezzocorona	Mezzocorona	Mezzocorona	Trentino-Alto Adige/Südtirol	B	Comunale
A.S.D. Mezzolara	Mezzolara	Budrio	Emilia-Romagna	D	Pietro Zucchini
S.S. MonosPolis	MonosPolis	Monopoli	Apulia	H	Vito Simone Veneziani
S.S. Comprensorio Montalto Uffugo	Montalto Uffugo	Montalto Uffugo	Calabria	I	Comunale
Calcio Montebelluna	Montebelluna	Montebelluna	Veneto	C	San Vigilio
A.S.D. Nardò Calcio	Nardò	Nardò	Apulia	H	Giovanni Paolo II
Nissa F.C. A.S.D.	Nissa	Caltanissetta	Sicily	I	Marco Tomaselli
U.S.D. Noto Calcio	Noto	Noto	Sicily	I	Polisportivo Palatucci
U.S.D. Novese	Novese	Novi Ligure	Piedmont	A	Costante Girardengo
U.S. Olginatese	Olginatese	Olginate	Lombardy	B	Comunale
Pol. Olympia Agnonese	Olympia Agnonese	Agnone	Molise	F	Civitelle
A.S. Ostia Mare 1945	Ostia Mare	Ostia	Lazio	F	Anco Marzio
A.C. Palazzolo A.S.D.	Palazzolo	Palazzolo Acreide	Sicily	I	Alessandro Scrofani Salustro
U.S. Pergolettese 1932	Pergolettese	Crema	Lombardy	B	Giuseppe Voltini
U.S. Pianese	Pianese	Piancastagnaio	Tuscany	E	Comunale
A.S.D. Pierantonio Calcio 1965	Pierantonio	Umbertide	Umbria	E	Comunale
U.S. Pistoiese 1921	Pistoiese	Pistoia	Tuscany	D	Marcello Melani
A.S.D.C. Pomigliano	Pomigliano	Pomigliano d'Arco	Campania	G	Ugo Gobbato
A.C. Ponte San Pietro Isola S.S.D.	Pontisola	Ponte San Pietro , Terno d'Isola	Lombardy	B	Matteo Legler ( Ponte San Pietro )
A.S.D. Pontevecchio	Pontevecchio	Ponte San Giovanni	Umbria	E	degli Ornari
Pordenone Calcio S.S.D.	Pordenone	Pordenone	Friuli-Venezia Giulia	C	Ottavio Bottecchia
A.C. Porto Torres	Porto Torres	Porto Torres	Sardinia	G	Comunale
U.S.D. Pro Cavese	Pro Cavese	Cava de' Tirreni	Campania	I	Simonetta Lamberti
S.S.D. Pro Sesto Calcio	Pro Sesto	Sesto San Giovanni	Lombardy	B	Breda
Progetto Calcio Sant'Elia	Progetto Sant'Elia	Cagliari	Sardinia	G	Comunale ( Sanluri )
A.S.D. Puteolana 1902 Internapoli	Puteolana Internapoli	Pozzuoli	Campania	H	Domenico Conte
A.S.D. Ragusa Calcio	Ragusa	Ragusa	Sicily	I	Aldo Campo
A.S.D. Real S.M. Hyria Nola 2012	Real Hyria Nola	Nola	Campania	G	Sporting Club
Real Spal	Real Spal	Ferrara	Emilia-Romagna	D	Paolo Mazza
Real Vicenza V.S. S.S.D.	Real Vicenza	Vicenza	Veneto	F	Romeo Menti
U.S.D. Recanatese	Recanatese	Recanati	Marche	F	Nicola Tubaldi
Renato Curi Angolana	Renato Curi Angolana	Città Sant'Angelo	Abruzzo	F	Comunale
A.S.D.P. Ribera 1954	Ribera	Ribera	Sicily	I	Nino Novara
A.S.D. Riccione 1929	Riccione	Riccione	Emilia-Romagna	D	Italo Niccoletti
G.S.D. Rosignano Sei Rose	Rosignano	Rosignano Marittimo	Tuscany	D	Ernesto Solvay
