Driver	Constructor	Laps	Time/Retired	Grid
Jacques Villeneuve	Williams - Renault	72	1:36:06.990	1
Gerhard Berger	Benetton - Renault	72	+4.190	3
Olivier Panis	Prost - Mugen-Honda	72	+15.870	5
Mika Häkkinen	McLaren - Mercedes	72	+33.033	4
Michael Schumacher	Ferrari	72	+33.731	2
Jean Alesi	Benetton - Renault	72	+34.020	6
Johnny Herbert	Sauber - Petronas	72	+50.912	13
Giancarlo Fisichella	Jordan - Peugeot	72	+1:00.639	7
Heinz-Harald Frentzen	Williams - Renault	72	+1:15.402	8
David Coulthard	McLaren - Mercedes	71	+1 Lap	12
Nicola Larini	Sauber - Petronas	71	+1 Lap	19
Jarno Trulli	Minardi - Hart	71	+1 Lap	17
Mika Salo	Tyrrell - Ford	71	+1 Lap	22
Shinji Nakano	Prost - Mugen-Honda	71	+1 Lap	15
Jos Verstappen	Tyrrell - Ford	70	+2 Laps	21
Eddie Irvine	Ferrari	70	+2 Laps	14
Damon Hill	Arrows - Yamaha	68	Engine	9
Ukyo Katayama	Minardi - Hart	67	+5 Laps	18
Ralf Schumacher	Jordan - Peugeot	52	Electrical	10
Rubens Barrichello	Stewart - Ford	16	Suspension	11
Pedro Diniz	Arrows - Yamaha	15	Suspension	16
Jan Magnussen	Stewart - Ford	0	Collision	20
