SECR No.	SR No.	BR No.	Builder	Date Delivered	Date Withdrawn
760	1760	31760	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
761	1761	31761	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1956
762	1762	31762	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1960
763	1763	31763	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1960
764	1764	31764	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
765	1765	31765	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
766	1766	31766	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
767	1767	31767	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1958
768	1768	31768	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
769	1769	31769	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1956
770	1770	31770	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
771	1771	31771	Beyer Peacock	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
772	1772	31772	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
773	1773	31773	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
774	1774	31774	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1958
775	1775	31775	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
776	1776	31776	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
777	1777	31777	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
778	1778	31778	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1959
779	1779	31779	Borsig	Cannot handle non-empty timestamp argument! 1914	Cannot handle non-empty timestamp argument! 1961
