Outcome	Date	Tournament	Surface	Partner	Opponents in Final	Score in Final
Runner-up	4 February 1990	Tokyo Indoor , Japan	Carpet	Jo-Anne Faull	Gigi Fernández Liz Smylie	2–6, 2–6
Runner-up	30 September 1990	Bayonne , France	Carpet	Jo-Anne Faull	Louise Field Catherine Tanvier	6–7, 7–6, 6–7
Winner	25 August 1991	Schenectady , New York, USA	Hard	Claudia Porwik	Nicole Arendt Shannan McCarthy	6–2, 6–4
Runner-up	29 September 1991	Bayonne , France	Carpet	Catherine Tanvier	Patricia Tarabini Nathalie Tauziat	3–6, RET
Runner-up	9 February 1992	Osaka , Japan	Carpet	Sandy Collins	Rennae Stubbs Helena Suková	6–3, 4–6, 5–7
Runner-up	3 May 1992	Taranto , Italy	Clay	Radomira Zrubáková	Amanda Coetzer Inés Gorrochategui	6–4, 3–6, 6–7
Runner-up	14 September 1992	Paris, France	Clay	Noëlle van Lottum	Patricia Tarabini Sandra Cecchini	5–7, 1–6
Winner	29 August 1993	Schenectady , New York, USA	Hard	Claudia Porwik	Florencia Labat Barbara Rittner	4–6, 6–4, 6–2
Winner	19 September 1993	Hong Kong	Hard	Karin Kschwendt	Debbie Graham Marianne Werdel-Witmeyer	1–6, 7–6 6–2
Runner-up	9 January 1994	Brisbane , Australia	Hard	Jenny Byrne	Laura Golarsa Natalia Medvedeva	3–6, 1–6
Runner-up	15 January 1994	Hobart , Australia	Hard	Jenny Byrne	Linda Wild Chanda Rubin	5–7, 6–4, 6–7
Runner-up	7 August 1994	San Diego , California, USA	Hard	Ginger Helgeson-Nielsen	Jana Novotná Arantxa Sánchez Vicario	3–6, 3–6
Runner-up	19 May 1997	Edinburgh , Great Britain	Clay	Nana Miyagi	Nicole Arendt Manon Bollegraf	1–6, 6–3, 7–5
Runner-up	18 May 1998	Madrid , Spain	Clay	Nicole Pratt	Florencia Labat Dominique Monami	3–6, 1–6
Winner	18 June 2000	Birmingham , England	Grass	Lisa McShea	Cara Black Irina Selyutina	6–3, 7–6(5)
Winner	7 October 2001	Japan Open	Hard	Liezel Huber	Janet Lee Wynne Prakusya	6–2, 6–0
