Season	Div.	Pos.	Top Scorer (League)	Head Coach
1992	1st	8	Tikhonov - 7	Yulgushov
1993	1st	17	Spanderashvili - 8	Yulgushov
1994	2nd	2	Maslov - 32	Yulgushov
1995	1st	14	Maslov - 18	Yulgushov Andreev
1996	1st	11	Maslov - 23	Andreev
1997	1st	13	Gerasimenko - 8	Andreev
1998	1st	6	Matveev - 14	Andreev
1999	1st	7	Pestryakov - 7	Andreev
2000	1st	12	Kirichenko - 14	Andreev
2001	1st	12	Kirichenko - 13	Balakhnin Baidachny
2002	1st	11	Baba Adamu - 5	Baidachny Balakhnin
2003	1st	11	Osinov - 7	Balakhnin
2004	1st	12	Perez - 5	Shevchenko Balakhnin
2005	1st	13	Buznikin - 8	Stepushkin Petrakov
2006	1st	12	Osinov - 12	Balakhnin
2007	1st	16	Osinov - 4 Kanyenda - 4	Dolmatov
2008	2nd	1	Osinov - 16	Dolmatov
2009	1st	14	Akimov - 6 Ahmetovic - 6	Dolmatov
2010	1st	9	Adamov - 8	Protasov
2011-12	1st	13	Adamov - 11	Protasov Lyutyi Talalayev Balakhnin Baidachny
2012-13	1st	13	Holenda - 6	Božović
