Entrant	Constructor	Chassis	Engine	Tyre	Driver	Rounds
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Stirling Moss	1–2, 4–8
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Jean Behra	1–2, 4–8
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Carlos Menditeguy	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Luigi Piotti	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Chico Landi	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Gerino Gerini	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	José Froilán González	1
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Cesare Perdisa	2, 4–7
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Paco Godia	4–8
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Piero Taruffi	5
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Umberto Maglioli	7–8
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Luigi Villoresi	8
Officine Alfieri Maserati	Maserati	250F	Maserati 250F1 2.5 L6	P	Jo Bonnier	8
Owen Racing Organisation	Maserati BRM	250F P25	Maserati 250F1 2.5 L6 BRM P25 2.5 L4	P D	Mike Hawthorn	1–2, 6
Owen Racing Organisation	Maserati BRM	250F P25	Maserati 250F1 2.5 L6 BRM P25 2.5 L4	P D	Tony Brooks	2, 6
Owen Racing Organisation	Maserati BRM	250F P25	Maserati 250F1 2.5 L6 BRM P25 2.5 L4	P D	Ron Flockhart	6
Alberto Uria	Maserati	A6GCM	Maserati 250F1 2.5 L6	P	Alberto Uria	1
Alberto Uria	Maserati	A6GCM	Maserati 250F1 2.5 L6	P	Óscar González	1
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Juan Manuel Fangio	1–2, 4–8
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Eugenio Castellotti	1–2, 4–8
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Luigi Musso	1–2, 7–8
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Peter Collins	1–2, 4–8
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Olivier Gendebien	1, 5
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Paul Frère	4
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	André Pilette	4
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Alfonso de Portago	5–8
Scuderia Ferrari	Ferrari	D50 555	Lancia DS50 2.5 V8 Ferrari 555 2.5 L4	E P	Wolfgang von Trips	8
Equipe Gordini	Gordini	T16 T32	Gordini 23 2.5 L6 Gordini 25 2.5 L8	E	Robert Manzon	2, 5–8
Equipe Gordini	Gordini	T16 T32	Gordini 23 2.5 L6 Gordini 25 2.5 L8	E	André Pilette	2, 5, 7
Equipe Gordini	Gordini	T16 T32	Gordini 23 2.5 L6 Gordini 25 2.5 L8	E	Hernando da Silva Ramos	2, 5–6, 8
Equipe Gordini	Gordini	T16 T32	Gordini 23 2.5 L6 Gordini 25 2.5 L8	E	André Milhoux	7
Equipe Gordini	Gordini	T16 T32	Gordini 23 2.5 L6 Gordini 25 2.5 L8	E	André Simon	8
Ecurie Rosier	Maserati	250F	Maserati 250F1 2.5 L6	P	Louis Rosier	2, 4–7
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	Maurice Trintignant	2, 4, 6, 8
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	Harry Schell	2, 4–6, 8
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	Mike Hawthorn	5
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	Colin Chapman	5
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	José Froilán González	6
Vandervell Products	Vanwall	VW 2	Vanwall 254 2.5 L4	P	Piero Taruffi	8
Gould's Garage (Bristol) H.H. Gould	Maserati	250F	Maserati 250F1 2.5 L6	D	Horace Gould	2, 4, 6–7
Giorgio Scarlatti	Ferrari	500	Ferrari 500 2.0 L4	P	Giorgio Scarlatti	2
Scuderia Centro Sud	Maserati Ferrari	250F 500	Maserati 250F1 2.5 L6 Ferrari 500 2.0 L4	P	Luigi Villoresi	4
Scuderia Centro Sud	Maserati Ferrari	250F 500	Maserati 250F1 2.5 L6 Ferrari 500 2.0 L4	P	Harry Schell	7
Scuderia Centro Sud	Maserati Ferrari	250F 500	Maserati 250F1 2.5 L6 Ferrari 500 2.0 L4	P	Giorgio Scarlatti	7
Scuderia Centro Sud	Maserati Ferrari	250F 500	Maserati 250F1 2.5 L6 Ferrari 500 2.0 L4	P	Toulo de Graffenried	8
Piero Scotti	Connaught - Alta	B	Alta GP 2.5 L4	P	Piero Scotti	4
Automobiles Bugatti	Bugatti	T251	Bugatti 2.5 L8	E	Maurice Trintignant	5
Luigi Piotti	Maserati	250F	Maserati 250F1 2.5 L6	P	Luigi Villoresi	5–7
Luigi Piotti	Maserati	250F	Maserati 250F1 2.5 L6	P	Luigi Piotti	7–8
André Simon	Maserati	250F	Maserati 250F1 2.5 L6	P	André Simon	5
Scuderia Guastalla	Maserati	250F	Maserati 250F1 2.5 L6	P	Umberto Maglioli	6
Scuderia Guastalla	Maserati	250F	Maserati 250F1 2.5 L6	P	Gerino Gerini	8
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	P A	Archie Scott-Brown	6, 8
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	P A	Desmond Titterington	6
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	P A	Jack Fairman	6, 8
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	P A	Les Leston	8
Connaught Engineering	Connaught - Alta	B	Alta GP 2.5 L4	P A	Ron Flockhart	8
Bob Gerard	Cooper - Bristol	T23	Bristol BS1 2.0 L6	D	Bob Gerard	6
Gilby Engineering	Maserati	250F	Maserati 250F1 2.5 L6	D	Roy Salvadori	6–8
Bruce Halford	Maserati	250F	Maserati 250F1 2.5 L6	D	Bruce Halford	6–8
Jack Brabham	Maserati	250F	Maserati 250F1 2.5 L6	D	Jack Brabham	6
Emeryson Cars	Emeryson - Alta	56	Alta GP 2.5 L4	D	Paul Emery	6
Ottorino Volonterio	Maserati	A6GCM	Maserati 250F1 2.5 L6	P	Ottorino Volonterio	7
