Rank	Family	Abbre­viation	Constellation	Area (sq.deg.)	Area (msr)	Per­cent­age	Right ascension (hm)	Decli­nation (dm)	Quad
01	Her	Hya	Hydra	1302.844	396.869	3.16%	1136.73	−1431.91	SQ2
02	Zod	Vir	Virgo	1294.428	394.305	3.14%	1324.39	−0409.51	SQ3
03	Urs	UMa	Ursa Major	1279.660	389.807	3.10%	1118.76	+5043.27	NQ2
04	Per	Cet	Cetus	1231.411	375.109	2.99%	0140.10	−0710.76	SQ1
05	Her	Her	Hercules	1225.148	373.201	2.97%	1723.16	+2729.93	NQ3
06	Wat	Eri	Eridanus	1137.919	346.630	2.76%	0318.02	−2845.37	SQ1
07	Per	Peg	Pegasus	1120.794	341.413	2.72%	2241.84	+1927.98	NQ4
08	Urs	Dra	Draco	1082.952	329.886	2.63%	1508.64	+6700.40	NQ3
09	Her	Cen	Centaurus	1060.422	323.023	2.57%	1304.27	−4720.72	SQ3
10	Zod	Aqr	Aquarius	979.854	298.481	2.38%	2217.38	−1047.35	SQ4
11	Her	Oph	Ophiuchus	948.340	288.881	2.30%	1723.69	−0754.74	SQ3
12	Zod	Leo	Leo	946.964	288.462	2.30%	1040.03	+1308.32	NQ2
13	Urs	Boo	Boötes	906.831	276.237	2.20%	1442.64	+3112.16	NQ3
14	Zod	Psc	Pisces	889.417	270.932	2.16%	0028.97	+1341.23	NQ1
15	Zod	Sgr	Sagittarius	867.432	264.235	2.10%	1905.94	−2828.61	SQ4
16	Her	Cyg	Cygnus	803.983	244.907	1.95%	2035.28	+4432.70	NQ4
17	Zod	Tau	Taurus	797.249	242.856	1.93%	0442.13	+1452.63	NQ1
18	Urs	Cam	Camelopardalis	756.828	230.543	1.83%	0851.37	+6922.89	NQ2
19	Per	And	Andromeda	722.278	220.018	1.75%	0048.46	+3725.91	NQ1
20	Wat	Pup	Puppis	673.434	205.140	1.63%	0715.48	−3110.64	SQ2
21	Per	Aur	Auriga	657.438	200.267	1.59%	0604.42	+4201.68	NQ2
22	Her	Aql	Aquila	652.473	198.755	1.58%	1940.02	+0324.65	NQ4
23	Her	Ser	Serpens	636.928	194.019	1.54%	1657.04	+0607.32	NQ3
24	Per	Per	Perseus	614.997	187.339	1.49%	0310.50	+4500.79	NQ1
25	Per	Cas	Cassiopeia	598.407	182.285	1.45%	0119.16	+6211.04	NQ1
26	Ori	Ori	Orion	594.120	180.979	1.44%	0534.59	+0556.94	NQ1
27	Per	Cep	Cepheus	587.787	179.050	1.42%	0232.64	+7100.51	NQ4
28	Urs	Lyn	Lynx	545.386	166.134	1.32%	0759.53	+4728.00	NQ2
29	Zod	Lib	Libra	538.052	163.900	1.30%	1511.96	−1514.08	SQ3
30	Zod	Gem	Gemini	513.761	156.501	1.25%	0704.24	+2236.01	NQ2
31	Zod	Cnc	Cancer	505.872	154.097	1.23%	0838.96	+1948.35	NQ2
32	Wat	Vel	Vela	499.649	152.202	1.21%	0934.64	−4710.03	SQ2
33	Zod	Sco	Scorpius	496.783	151.329	1.20%	1653.24	−2701.89	SQ3
34	Wat	Car	Carina	494.184	150.537	1.20%	0841.70	−6313.16	SQ2
35	Ori	Mon	Monoceros	481.569	146.694	1.17%	0703.63	+0016.93	NQ2
36	Lac	Scl	Sculptor	474.764	144.621	1.15%	0026.28	−3205.30	SQ1
37	Bay	Phe	Phoenix	469.319	142.963	1.14%	0055.91	−4834.84	SQ1
38	Urs	CVn	Canes Venatici	465.194	141.706	1.13%	1306.96	+4006.11	NQ3
39	Zod	Ari	Aries	441.395	134.457	1.07%	0238.16	+2047.54	NQ1
40	Zod	Cap	Capricornus	413.947	126.095	1.00%	2102.93	−1801.39	SQ4
41	Lac	For	Fornax	397.502	121.086	0.96%	0247.88	−3138.07	SQ1
42	Urs	Com	Coma Berenices	386.475	117.727	0.94%	1247.27	+2318.34	NQ3
43	Ori	CMa	Canis Major	380.118	115.791	0.92%	0649.74	−2208.42	SQ2
44	Bay	Pav	Pavo	377.666	115.044	0.92%	1936.71	−6546.89	SQ4
45	Bay	Gru	Grus	365.513	111.342	0.89%	2227.39	−4621.11	SQ4
