Week	Date	Time (CST)	Opponent	Result	Game site	Record	NFL Recap
1	September 7, 2008	3:15 p.m.	at Cleveland Browns	W, 28–10	Cleveland Browns Stadium	1–0	Recap
2	September 15, 2008	7:15 p.m.	Philadelphia Eagles	W, 41–37	Texas Stadium	2–0	Recap
3	September 21, 2008	7:15 p.m.	at Green Bay Packers	W, 27–16	Lambeau Field	3–0	Recap
4	September 28, 2008	3:15 p.m.	Washington Redskins	L, 26–24	Texas Stadium	3–1	Recap
5	October 5, 2008	3:15 p.m.	Cincinnati Bengals	W, 31–22	Texas Stadium	4–1	Recap
6	October 12, 2008	3:15 p.m.	at Arizona Cardinals	L, 30–24 OT	University of Phoenix Stadium	4–2	Recap
7	October 19, 2008	12:00 p.m.	at St. Louis Rams	L, 14–34	Edward Jones Dome	4–3	Recap
8	October 26, 2008	12:00 p.m.	Tampa Bay Buccaneers	W, 13–9	Texas Stadium	5–3	Recap
9	November 2, 2008	3:15 p.m.	at New York Giants	L, 14–35	Giants Stadium	5–4	Recap
10	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week	Bye week
11	November 16, 2008	7:15 p.m.	at Washington Redskins	W, 14–10	FedExField	6–4	Recap
12	November 23, 2008	12:00 p.m.	San Francisco 49ers	W, 35–22	Texas Stadium	7–4	Recap
13	November 27, 2008	3:15 p.m.	Seattle Seahawks	W, 34–9	Texas Stadium	8–4	Recap
14	December 7, 2008	3:15 p.m.	at Pittsburgh Steelers	L, 13–20	Heinz Field	8–5	Recap
15	December 14, 2008	7:15 p.m.	New York Giants	W, 20–8	Texas Stadium	9–5	Recap
16	December 20, 2008	7:15 p.m.	Baltimore Ravens	L, 33–24	Texas Stadium	9–6	Recap
17	December 28, 2008	3:15 p.m.	at Philadelphia Eagles	L, 44–6	Lincoln Financial Field	9–7	Recap
