Name	Pos.	Height	Weight	Date of Birth	Club
Ildikó Zirighné Sós	GK	m (ft 10in)	kg (lb)	1976-12-27	Dunaújváros Főiskola
Zsuzsanna Tiba	CF	m (ft 9in)	kg (lb)	1976-03-31	Dunaújváros Főiskola
Anett Györe	D	m (ft 8in)	kg (lb)	1981-12-10	BVSC Vízilabda
Dóra Kisteleki	CF	m (ft 8in)	kg (lb)	1983-05-11	Vasas SC
Mercédesz Stieber	D	m (ft 9in)	kg (lb)	1974-09-04	Rari Nantes Pescara
Erzsébet Valkay	CB	m (ft 9in)	kg (lb)	1979-03-06	Rari Nantes Pescara
Rita Dravucz	D	m (ft 11in)	kg (lb)	1980-04-14	Geymonat Orizzonte
Krisztina Zantleitner	CB	m (ft 0in)	kg (lb)	1974-05-08	Dunaújváros Főiskola
Krisztina Szremkó	CB	m (ft 11in)	kg (lb)	1972-01-06	Szentesi VK
Anikó Pelle	CF	m (ft 1in)	kg (lb)	1978-09-28	Geymonat Orizzonte
Ágnes Valkay	CF	m (ft 6in)	kg (lb)	1981-02-27	Rari Nantes Pescara
Ágnes Primász	CF	m (ft 9in)	kg (lb)	1980-03-05	Dunaújváros Főiskola
Andrea Tóth	GK	m (ft 0in)	kg (lb)	1981-08-07	Dunaújváros Főiskola
Head Coach: Tamás Faragó	Head Coach: Tamás Faragó	Head Coach: Tamás Faragó	Head Coach: Tamás Faragó	Head Coach: Tamás Faragó	Head Coach: Tamás Faragó
