Year	Channel	Play-by-play	Color commentator(s)	Courtside reporter	Studio host	Studio analysts
2009-10	Comcast SportsNet New England	Mike Gorman	Tom Heinsohn or Donny Marshall (Select Road Games)	Greg Dickerson	Gary Tanguay	Donny Marshall or Tom Heinsohn (Select road games)
2008-09	Comcast SportsNet New England	Mike Gorman	Tom Heinsohn or Donny Marshall (Select Road Games)	Greg Dickerson	Gary Tanguay	Donny Marshall or Tom Heinsohn (Select road games)
2007-08	Comcast SportsNet New England	Mike Gorman	Tom Heinsohn or Donny Marshall (Select Road Games)	Greg Dickerson	Gary Tanguay	Donny Marshall or Tom Heinsohn (Select road games)
2006-07	FSN New England	Mike Gorman	Tom Heinsohn	Greg Dickerson	Gary Tanguay	Donny Marshall
2005-06	FSN New England	Mike Gorman	Tom Heinsohn	Greg Dickerson	Gary Tanguay	Donny Marshall
2004-05	FSN New England	Mike Gorman	Tom Heinsohn	Willie Maye	Gary Tanguay & Greg Dickerson	Guest Analysts
2003-04	Fox Sports Net New England	Mike Gorman	Tom Heinsohn	Willie Maye	Gary Tanguay & Greg Dickerson	Guest Analysts
2002-03	Fox Sports Net New England	Mike Gorman	Tom Heinsohn	Willie Maye	Gary Tanguay & Greg Dickerson	Guest Analysts
2001-02	Fox Sports Net New England	Mike Gorman	Tom Heinsohn	Willie Maye	Gary Tanguay & Greg Dickerson	Guest Analysts
2000-01	Fox Sports Net New England	Mike Gorman	Tom Heinsohn	Willie Maye	Gary Tanguay & Eric Frede	Guest Analysts
