Outcome	Date	Tournament	Surface	Partner	Opponents in the final	Score in the final
Runners-up	April 29, 1985	Houston , USA WTA Virginia Slims	Clay	Helena Suková	Elise Burgin Martina Navratilova	1–6, 6–3, 3–6
Winners	July 22, 1985	Indianapolis , USA WTA Virginia Slims	Clay	Katerina Maleeva	Penny Barg Paula Smith	3–6, 6–3, 6–4
Runners-up	September 8, 1986	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Katerina Maleeva	Bettina Bunge Steffi Graf	1–6, 7–6 (9–7) , 2–6
Winners	July 6, 1987	Knokke , Belgium WTA Virginia Slims	Clay	Bettina Bunge	Kathleen Horvath Marcella Mesker	4–6, 6–4, 6–4
Runners-up	September 14, 1987	Tokyo , Japan WTA Virginia Slims	Carpet (I)	Katerina Maleeva	Anne White Robin White	1–6, 2–6
Winners	February 11, 1991	Linz , Austria WTA Tier V	Carpet (I)	Raffaella Reggi	Petra Langrová Radka Zrubáková	6–4, 1–6, 6–3
Runners-up	May 20, 1991	Geneva , Switzerland WTA Tier IV	Clay	Cathy Caverzasio	Nicole Bradtke Elizabeth Smylie	1–6, 2–6
Runners-up	February 9, 1993	Osaka , Japan WTA Tier III	Carpet (I)	Magdalena Maleeva	Jana Novotná Larisa Neiland	1–6, 3–6
Winners	April 5, 1993	Amelia Island , USA WTA Tier II	Clay	Leila Meskhi	Amanda Coetzer Inés Gorrochategui	3–6, 6–3, 6–4
Runners-up	April 19, 1993	Barcelona , Spain WTA Tier II	Clay	Magdalena Maleeva	Conchita Martínez Arantxa Sánchez Vicario	6–4, 1–6, 0–6
Runners-up	July 26, 1993	Stratton Mountain , USA WTA Tier II	Hard	Mercedes Paz	Elizabeth Smylie Helena Suková	1–6, 2–6
