No. in series	No. in season	Title	Directed by	Written by	Original air date	U.S. viewers (millions)
93	1	"Veritas"	David Von Ancken	Zachary Reiter & Pam Veasey	September24,2008	14.59
94	2	"Page Turner"	Frederick E.O. Toye	Trey Callaway	October1,2008	14.88
95	3	"Turbulence"	Matt Earl Beesley	Gary Sinise & Jeremy Littman	October8,2008	15.87
96	4	"Sex, Lies and Silicone"	Jonathan Glassner	Wendy Battles	October22,2008	14.39
97	5	"The Cost of Living"	Rob Bailey	John Dove	October29,2008	13.75
98	6	"Enough"	Alex Zakrzewski	Zachary Reiter	November5,2008	11.80
99	7	"Dead Inside"	Christine Moore	Pam Veasey & Daniele Nathanson	November12,2008	11.62
100	8	"My Name Is Mac Taylor"	Rob Bailey	Pam Veasey	November19,2008	14.12
101	9	"The Box"	Oz Scott	Peter M. Lenkov & Bill Haynes	November26,2008	12.30
102	10	"The Triangle"	Jeff Thomas	Trey Callaway	December10,2008	13.33
103	11	"Forbidden Fruit"	John Behring	Peter M. Lenkov & Jill Abbinanti	December17,2008	13.38
104	12	"Help"	David M. Barrett	Sam Humphrey	January14,2009	12.66
105	13	"Rush to Judgement"	Rob Bailey	Wendy Battles	January21,2009	11.58
106	14	"She's Not There"	Nelson McCormick	John Dove & Pam Veasey	February11,2009	11.94
107	15	"The Party's Over"	Oz Scott	Barbie Kligman	February18,2009	12.33
108	16	"No Good Deed"	Matt Earl Beesley	Rusty Cundieff & Floyd Byars	February25,2009	12.56
109	17	"Green Piece"	Jeffrey Hunt	Zachary Reiter	March11,2009	13.63
110	18	"Point of No Return"	Rob Bailey	Peter M. Lenkov & Bill Haynes	March18,2009	12.78
111	19	"Communication Breakdown"	John Keris	Trey Callaway	March25,2009	12.64
112	20	"Prey"	Marshall Adams	Wendy Battles & Noah Nelson	April8,2009	12.50
113	21	"The Past, Present and Murder"	David Von Ancken	Sam Humphrey & Danielle Nathanson	April15,2009	12.14
114	22	"Yahrzeit"	Norberto Barba	Barbie Kligman & Peter M. Lenkov	April29,2009	12.50
115	23	"Greater Good"	Alex Zakrzewski	Pam Veasey	May6,2009	13.40
116	24	"Grounds for Deception"	Duane Clark	Melina Kanakaredes	May13,2009	12.33
