Game	March	Opponent	Score	Record
63	1	California Golden Seals	4 - 1	42-11-10
64	2	@ Buffalo Sabres	4 - 3	43-11-10
65	5	Vancouver Canucks	6 - 1	44-11-10
66	8	Chicago Black Hawks	3 - 3	44-11-11
67	11	@ Detroit Red Wings	4 - 2	45-11-11
68	12	California Golden Seals	7 - 3	45-12-11
69	15	@ Chicago Black Hawks	3 - 1	45-13-11
70	16	@ Detroit Red Wings	2 - 1	46-13-11
71	18	@ Philadelphia Flyers	5 - 3	47-13-11
72	19	Toronto Maple Leafs	5 - 3	48-13-11
73	23	@ Boston Bruins	4 - 1	48-14-11
74	25	@ Montreal Canadiens	3 - 3	48-14-12
75	26	Minnesota North Stars	5 - 0	48-15-12
76	29	Detroit Red Wings	2 - 2	48-15-13
