Player	Shoots	Position	Acquired	Place of Birth	Joined from
David Clarke	L	RW	2008	Peterborough , England	Alleghe Hockey , Serie A
Robert Lachowicz	L	LW	2010	Nottingham , England	Manchester Phoenix , EPIHL
Matthew Myers	R	C	2010	Cardiff , Wales	Johnstown Chiefs , ECHL
Patrick Galivan	L	LW	2012	Oak Park, Illinois , USA	Gwinnett Gladiators , ECHL
Anthony Stewart	R	RW	2012	LaSalle, Quebec , Canada	Carolina Hurricanes , NHL *LOCKOUT CONTACT*
Marc Levers	R	RW	2007	Derby , England	Belfast Giants , EIHL
Matt Francis	R	RW	2011	Surrey, BC , Canada	Gwinnett Gladiators , ECHL
David Ling	R	RW	2012	Halifax, Nova Scotia , Canada	HC Pustertal – Val Pusteria Wolves , Serie A
Bruce Graham	L	C	2012	Moncton, New Brunswick , Canada	Allen Americans , CHL
Brandon Benedict	L	C	2011	Halifax , Nova Scotia , Canada	Belfast Giants , EIHL
Jordan Fox	L	C	2011	Kirkwood , Missouri , USA	Jokipojat , Mestis
Josh Ward	R	RW	2012	Nottingham , England	Manchester Phoenix , EPIHL
