Name	Geographic code	Type	Households	Population (2004)	Foreign population	Moroccan population
Azemmour	181.01.01.	Municipality	8080	36722	26	36696
El-Jadida	181.01.03.	Municipality	31602	144440	384	144056
Lbir Jdid	181.01.05.	Municipality	3091	15267	14	15253
Sidi Bennour	181.01.07.	Provincial	8000	39593	16	39577
Zemamra	181.01.09.	Municipality	2336	11896	1	11895
Chtouka	181.03.01.	Rural commune	4541	28939	3	28936
Haouzia	181.03.03.	Rural commune	5989	34607	14	34593
Laghdira	181.03.05.	Rural commune	2630	16879	12	16867
Lamharza Essahel	181.03.07.	Rural commune	2766	15938	0	15938
Oulad Rahmoune	181.03.09.	Rural commune	3414	20239	0	20239
Sidi Ali Ben Hamdouche	181.03.11.	Rural commune	5158	28685	7	28678
Moulay Abdallah	181.05.01.	Rural commune	8909	45780	28	45752
Oulad Aissa	181.05.03.	Rural commune	3430	21779	0	21779
Oulad Ghanem	181.05.05.	Rural commune	3438	22342	0	22342
Oulad Hcine	181.05.07.	Rural commune	4626	27475	0	27475
Sidi Abed	181.05.09.	Rural commune	3627	20854	0	20854
Sidi M'Hamed Akhdim	181.05.11.	Rural commune	1680	10745	0	10745
Bni Hilal	181.07.01.	Rural commune	2945	17288	0	17288
Bni Tsiriss	181.07.03.	Rural commune	2320	14955	3	14952
Bouhmame	181.07.05.	Rural commune	5268	30540	0	30540
Jabria	181.07.07.	Rural commune	2994	17654	0	17654
Khmis Ksiba	181.07.09.	Rural commune	1064	6637	0	6637
Koudiat Bni Dghough	181.07.11.	Rural commune	2712	15506	6	15500
Kridid	181.07.13.	Rural commune	2023	12751	0	12751
Laagagcha	181.07.15.	Rural commune	2441	14313	0	14313
Laamria	181.07.17.	Rural commune	2105	13314	6	13308
Laaounate	181.07.19.	Rural commune	3188	18258	2	18256
Laatatra	181.07.21.	Rural commune	2633	15046	1	15045
Lmechrek	181.07.23.	Rural commune	2474	14853	0	14853
Metrane	181.07.25.	Rural commune	2020	11627	0	11627
M'Tal	181.07.27.	Rural commune	2074	11879	1	11878
Oulad Amrane	181.07.29.	Rural commune	2167	11866	0	11866
Oulad Boussaken	181.07.31.	Rural commune	1221	7641	0	7641
Oulad Si Bouhya	181.07.33.	Rural commune	3120	18902	0	18902
Tamda	181.07.35.	Rural commune	1768	9701	0	9701
Boulaouane	181.09.01.	Rural commune	2319	14404	0	14404
Chaibate	181.09.03.	Rural commune	1738	9590	1	9589
Mettouh	181.09.05.	Rural commune	4228	25587	1	25586
Mogress	181.09.07.	Rural commune	2380	15050	0	15050
Oulad Hamdane	181.09.09.	Rural commune	2749	15205	0	15205
Oulad Sidi Ali Ben Youssef	181.09.11.	Rural commune	1783	10854	1	10853
Oulad Frej	181.09.13.	Rural commune	3411	17047	2	17045
Sebt Saiss	181.09.15.	Rural commune	1949	11212	0	11212
Si Hsaien Ben Abderrahmane	181.09.17.	Rural commune	1155	6507	0	6507
Sidi Smail	181.09.19.	Rural commune	4264	24569	2	24567
Zaouiat Saiss	181.09.21.	Rural commune	1526	9519	0	9519
Zaouiat Lakouacem	181.09.23.	Rural commune	2153	12726	4	12722
Laghnadra	181.11.01.	Rural commune	5300	32091	0	32091
Lgharbia	181.11.03.	Rural commune	3808	23074	0	23074
Loualidia	181.11.05.	Rural commune	2668	15433	14	15419
Oulad Sbaita	181.11.07.	Rural commune	3872	24967	0	24967
Saniat Berguig	181.11.09.	Rural commune	4924	30286	0	30286
