Date	Opponent	Score	Loss	Record
September 1	@ Rangers	9–1	McLaughlin (4–8)	54–76
September 2	@ Rangers	3–2	Leal (1–4)	54–77
September 3	@ Rangers	4–2	Figueroa (3–9)	55–77
September 4	White Sox	3–2	Farmer (6–8)	56–77
September 5	White Sox	3–0	Clancy (13–11)	56–78
September 7	White Sox	3–1	Trout (8–13)	57–78
September 7	White Sox	7–6	Proly (3–9)	58–78
September 8	Yankees	7–4	Stieb (12–11)	58–79
September 9	Yankees	6–4	Perry (9–11)	59–79
September 10	Yankees	7–6	Clancy (13–12)	59–80
September 11	Orioles	6–1	Mirabella (4–11)	59–81
September 12	Orioles	7–5	Flanagan (14–12)	60–81
September 13	Orioles	6–4	Stieb (12–12)	60–82
September 14	Orioles	4–3 (13)	Martínez (5–4)	61–82
September 16	@ Yankees	5–4	Clancy (13–13)	61–83
September 17	@ Yankees	8–7 (13) ‡	Kucek (3–7)	61–84
September 18	@ Yankees	2–1	John (21–8)	62–84
September 19	@ Orioles	8–6 (12)	Willis (1–1)	62–85
September 20	@ Orioles	6–1	Stieb (12–13)	62–86
September 21	@ Orioles	2–1	Clancy (13–14)	62–87
September 22	@ Tigers	6–5	Weaver (2–3)	63–87
September 23	@ Tigers	9–7	Rozema (6–9)	64–87
September 24	@ Tigers	9–8 (10)	Kucek (3–8)	64–88
September 26	Red Sox	3–1	Stieb (12–14)	64–89
September 27	Red Sox	4–3	Clancy (13–15)	64–90
September 28	Red Sox	7–3	McLaughlin (6–9)	64–91
September 29	Tigers	8–2	Mirabella (4–12)	64–92
September 30	Tigers	5–3	Todd (4–2)	64–93
