Round	Selection	Name	Position	College	Contract
1	5	Glenn Dorsey	Defensive tackle	Louisiana State	Six years
1	15 [a ] [e ]	Branden Albert	Guard	Virginia	Five years
2	35	Brandon Flowers	Cornerback	Virginia Tech	Four years
3	73 [e ]	Jamaal Charles	Running back	Texas	Three years
3	76 [a ]	Brad Cottam	Tight end	Tennessee	Three years
3	82 [a ]	DaJuan Morgan	Safety	North Carolina State	Three years
4	105	Will Franklin	Wide receiver	Missouri	Four years
5	140 [e ]	Brandon Carr	Cornerback	Grand Valley State	Three years
6	170	Barry Richardson	Offensive tackle	Clemson	Three years
6	182 [a ] [c ]	Kevin Robinson	Wide receiver	Utah State	Three years
7	210	Brian Johnston	Linebacker	Gardner-Webb	Three years
7	239 [d ]	Michael Merritt	Tight end	Central Florida	Three years
