Rank	Name	Height metres / ft	Floors	Year
1	The Shard	306 / 1,004	01.0 87	2012
2	One Canada Square	235 / 771	02.0 50	1991
3	Heron Tower	230 / 756	04.0 46	2011
4	The Leadenhall Building	225 / 738	03.0 48	2014
5	Crystal Palace Transmitter	219 / 720	35.0 N/A	1950
6=	8 Canada Square	200 / 655	05.0 42	2002
6=	25 Canada Square	200 / 655	04.0 42	2002
8	Tower 42	183 / 600	07.0 47	1980
9	St George Wharf Tower	181 / 594	01.0 49	2013
10	30 St Mary Axe	180 / 590	09.0 40	2003
11	BT Tower	177 / 581	16.0 34	1964
12	Broadgate Tower	164 / 539	14.0 35	2008
13	One Churchill Place	156 / 513	22.0 32	2004
14=	Croydon Transmitter	153 / 502	36.0 N/A	1964
14=	25 Bank Street	153 / 502	19.0 33	2003
14=	40 Bank Street	153 / 502	20.0 33	2003
17	10 Upper Bank Street	151 / 495	23.0 32	2003
18=	Pan Peninsula East Tower	147 / 484	02.0 48	2008
18=	Strata	147 / 484	43	2010
20	Guy's Tower	143 / 469	17.0 34	1974
21	22 Marsh Wall East Tower	140 / 458	40	2010
22	London Eye	135 / 443	37.0 N/A	1999
23=	150 High Street Stratford	133 / 436	41	2013
23=	Wembley Stadium	133 / 436	34.0 6	2007
25	CityPoint	127 / 417	11.0 36	1967
26	Willis Building	125 / 410	29.0 26	2007
27=	Euston Tower	124 / 408	12.0 36	1970
27=	25 Churchill Place	124 / 408	10.0 23	2014
29=	Cromwell Tower	123 / 404	08.0 42	1973
29=	Lauderdale Tower	123 / 404	06.0 43	1974
29=	Shakespeare Tower	123 / 404	05.0 43	1976
32	Pan Peninsula West Tower	122 / 400	10.0 39	2008
33	Millbank Tower	119 / 390	21.0 33	1963
34	Aviva Tower	118 / 387	28.0 28	1969
35=	Centre Point	117 / 385	15.0 35	1967
35=	Empress State Building	117 / 385	24.0 31	1961
37	ArcelorMittal Orbit	115 / 377	37.0 2	2012
38	Battersea Power Station	113 / 370	33.0 10	1953
39	The Heron	112 / 367	35	2013
40	St Paul's Cathedral	111 / 364	38.0 N/A	1710
41	1 West India Quay	108 / 354	13.0 36	2004
42	Shell Centre	107 / 351	30.0 26	1961
43=	33 Canada Square	105 / 344	32.0 18	1999
43=	Nido Spitalfields	105 / 344	34	2009
43=	Pioneer Point North, Ilford	105 / 344	31	2011
46=	99 Bishopsgate	104 / 340	31.0 26	1976
46=	Ontario Tower	104 / 340	25.0 29	2007
48	Victoria Tower	102 / 336	39.0 N/A	1858
49=	Portland House	101 / 331	26.0 29	1963
49=	London Hilton on Park Lane	101 / 331	26.0 28	1963
49=	Royal London Hospital Tower 2	101 / 331	32.0 18	2010
52	Stock Exchange Tower	100 / 328	26.0 27	1970
