Place	Player	Country	Score	To par
1	Lee Janzen	United States	69-67=136	–4
2	Davis Love III	United States	66-71=137	–3
T3	Phil Blackmar	United States	70-68=138	–2
T3	Fred Couples	United States	71-67=138	–2
T3	Justin Leonard	United States	68-70=138	–2
T3	Jeff Maggert	United States	69-69=138	–2
T3	Shigeki Maruyama	Japan	68-70=138	–2
T3	Phil Mickelson	United States	69-69=138	–2
T3	Costantino Rocca	Italy	69-69=138	–2
T10	John Daly	United States	66-73=139	–1
T10	Greg Norman	Australia	68-71=139	–1
T10	Chris Perry	United States	68-71=139	–1
T10	Vijay Singh	Fiji	73-66=139	–1
T10	Paul Stankowski	United States	68-71=139	–1
