Game	Date	Opponent	Score	Location	Attendance	Record	Points
51	February 3	New York Islanders	1 - 3	Nassau Veterans Memorial Coliseum	9,808	17-24-10	44
52	February 4	Pittsburgh Penguins	3 - 4 OT	Mellon Arena	16,977	17-24-11	45
53	February 7	New York Islanders	1 - 0	St. Pete Times Forum	14,810	18-24-11	47
54	February 10	Atlanta Thrashers	1 - 3	St. Pete Times Forum	13,490	18-25-11	47
55	February 12	Toronto Maple Leafs	6 - 4	St. Pete Times Forum	16,526	19-25-11	49
56	February 14	Washington Capitals	1 - 5	St. Pete Times Forum	17,249	19-26-11	49
57	February 17	Chicago Blackhawks	3 - 5	St. Pete Times Forum	15,431	19-27-11	49
58	February 19	New Jersey Devils	2 - 3 SO	St. Pete Times Forum	14,408	19-27-12	50
59	February 20	Carolina Hurricanes	1 - 4	RBC Center	17,711	19-28-12	50
60	February 22	Boston Bruins	4 - 3	St. Pete Times Forum	18,454	20-28-12	52
61	February 24	Edmonton Oilers	3 - 5	Rexall Place	16,839	20-29-12	52
62	February 27	Vancouver Canucks	1 - 2	General Motors Place	18,630	20-30-12	52
