Rank	Nation	Gold	Silver	Bronze	Total
1	United States (USA)	97	88	52	237
2	Cuba (CUB)	59	35	41	135
3	Brazil (BRA) [§ ]	52	40	65	157
4	Canada (CAN)	39	44	55	138
5	Mexico (MEX)	18	24	31	73
6	Colombia (COL)	14	20	13	47
7	Venezuela (VEN)	12	23	35	70
8	Argentina (ARG)	11	16	33	60
9	Dominican Republic (DOM)	6	6	17	29
10	Chile (CHI)	6	5	9	20
11	Ecuador (ECU)	5	4	10	19
12	Puerto Rico (PUR)	3	6	12	21
13	Jamaica (JAM)	3	5	1	9
14	Guatemala (GUA)	2	3	2	7
15	Bahamas (BAH)	2	2	3	7
16	El Salvador (ESA) [‡ ]	1	3	6	10
17	Panama (PAN)	1	1	0	2
18	Antigua and Barbuda (ANT) [‡ ]	1	0	2	3
19	Netherlands Antilles (AHO)	1	0	1	2
20	Peru (PER)	0	4	8	12
21	Trinidad and Tobago (TRI)	0	1	3	4
22	Uruguay (URU)	0	1	2	3
23	Cayman Islands (CAY)	0	1	0	1
24	Nicaragua (NCA)	0	0	2	2
25	Barbados (BAR)	0	0	1	1
25	Dominica (DMA)	0	0	1	1
25	Grenada (GRN)	0	0	1	1
25	Guyana (GUY)	0	0	1	1
25	Haiti (HAI)	0	0	1	1
25	Honduras (HON)	0	0	1	1
25	Saint Lucia (LCA)	0	0	1	1
25	Paraguay (PAR)	0	0	1	1
Total	Total	333	332	411	1076
